row,original_name,normalized_name,candidate_cas,reason
18,"1,1,2-Trichloro Propene 1,1,2-Trichloro-propene","1,1,2-Trichloro Propene 1,1,2-Trichloro-propene",,not found in PubChem
20,"1,1,2-Trichloroethane 1,1,2-Trichloro-ethane","1,1,2-Trichloroethane 1,1,2-Trichloro-ethane",,not found in PubChem
25,"1,1-Dibromo Ethylene 1,1-Dibromo-ethene","1,1-Dibromo Ethylene 1,1-Dibromo-ethene",,not found in PubChem
27,"1,1-Dibromoethane 1,1-Dibromo-ethane","1,1-Dibromoethane 1,1-Dibromo-ethane",,not found in PubChem
32,"1,1-Dichloroethane 1,1-Dichloro-ethane","1,1-Dichloroethane 1,1-Dichloro-ethane",,not found in PubChem
34,"1,1-Dichloroethylene 1,1-Dichloro-ethene","1,1-Dichloroethylene 1,1-Dichloro-ethene",,not found in PubChem
36,"1,1-Dichloropropane 1,1-Dichloro-propane","1,1-Dichloropropane 1,1-Dichloro-propane",,not found in PubChem
38,"1,1-Dichloropropene 1,1-Dichloro-propene","1,1-Dichloropropene 1,1-Dichloro-propene",,not found in PubChem
40,"1,1-Diethoxy Butane 1,1-Diethoxy-butane","1,1-Diethoxy Butane 1,1-Diethoxy-butane",,not found in PubChem
42,"1,1-Diethoxy Ethane (Acetal) 1,1-Diethoxy-ethane","1,1-Diethoxy Ethane (Acetal) 1,1-Diethoxy-ethane",,not found in PubChem
43,"1,1-Diethoxy Ethane 1,1-Diethoxy-ethane","1,1-Diethoxy Ethane 1,1-Diethoxy-ethane",,not found in PubChem
44,"1,1-Difluoroet ylene 1,1-Difluoro-ethen","1,1-Difluoroet ylene 1,1-Difluoro-ethen",,not found in PubChem
45,"1,1-Difluoroethan 1,1-Difluoro-ethan","1,1-Difluoroethan 1,1-Difluoro-ethan",,not found in PubChem
49,"1,1-Dimethoxy Ethane 1,1-Dimethoxy-ethane","1,1-Dimethoxy Ethane 1,1-Dimethoxy-ethane",,not found in PubChem
52,"1,2,3,4Tetrahydronaphthalene","1,2,3,4Tetrahydronaphthalene",,not found in PubChem
55,"1,2,3-Benzotriazole 1H-Benzotriazole","1,2,3-Benzotriazole 1H-Benzotriazole",,not found in PubChem
57,"1,2,3-Triazole 1H-[1,2,3]Triazole","1,2,3-Triazole 1H-[1,2,3]Triazole",,not found in PubChem
59,"1,2,3-Trichloro Propene 1,2,3-Trichloro-propene","1,2,3-Trichloro Propene 1,2,3-Trichloro-propene",,not found in PubChem
61,"1,2,3-Trichloropropane 1,2,3-Trichloro-propane","1,2,3-Trichloropropane 1,2,3-Trichloro-propane",,not found in PubChem
65,"1,2,4-Trichlorobenzene* 1,2,4-Trichloro-benzene","1,2,4-Trichlorobenzene* 1,2,4-Trichloro-benzene",,not found in PubChem
67,"1,2-Butadiene Buta-1,2-diene","1,2-Butadiene Buta-1,2-diene",,not found in PubChem
69,"1,2-Cyclohexanediol Cyclohexane-1,2-diol","1,2-Cyclohexanediol Cyclohexane-1,2-diol",,not found in PubChem
71,"1,2-Cyclohexanedione Cyclohexane-1,2-dione","1,2-Cyclohexanedione Cyclohexane-1,2-dione",,not found in PubChem
73,"1,2-Dibromoethylene 1,2-Dibromo-ethene","1,2-Dibromoethylene 1,2-Dibromo-ethene",,not found in PubChem
76,"1,2-Dichloroethylene (cis) (Z)-1,2-Dichloro-ethene","1,2-Dichloroethylene (cis) (Z)-1,2-Dichloro-ethene",,not found in PubChem
82,"1,2-Diethyl Benzene 1,2-Diethyl-benzene","1,2-Diethyl Benzene 1,2-Diethyl-benzene",,not found in PubChem
84,"1,2-Dihydroxybenzene (Catechol) Benzene-1,2-diol","1,2-Dihydroxybenzene (Catechol) Benzene-1,2-diol",,not found in PubChem
86,"1,2-Dimethoxybenzene 1,2-Dimethoxy-benzene","1,2-Dimethoxybenzene 1,2-Dimethoxy-benzene",,not found in PubChem
89,"1,2-Dinitrobenzene 1,2-Dinitro-benzene","1,2-Dinitrobenzene 1,2-Dinitro-benzene",,not found in PubChem
90,"1,2-Epoxy Butane 2-Ethyl-oxirane","1,2-Epoxy Butane 2-Ethyl-oxirane",,not found in PubChem
92,"1,2-Epoxy-2-Propene 2-Methylene-oxirane","1,2-Epoxy-2-Propene 2-Methylene-oxirane",,not found in PubChem
93,"1,2-Ethane Dithiol Ethane-1,2-dithiol","1,2-Ethane Dithiol Ethane-1,2-dithiol",,not found in PubChem
95,"1,2-Methylenedioxybenzene Benzo[1,3]dioxole","1,2-Methylenedioxybenzene Benzo[1,3]dioxole",,not found in PubChem
97,"1,2-Propadiene (Allene) Propa-1,2-diene","1,2-Propadiene (Allene) Propa-1,2-diene",,not found in PubChem
100,"1,2Dichlorobenzene","1,2Dichlorobenzene",,not found in PubChem
102,"1,3,5-Trioxane [1,3,5]Trioxane","1,3,5-Trioxane [1,3,5]Trioxane",,not found in PubChem
104,"1,3-Benzenediol Benzene-1,3-diol","1,3-Benzenediol Benzene-1,3-diol",,not found in PubChem
108,"1,3-Butadiene Buta-1,3-diene","1,3-Butadiene Buta-1,3-diene",,not found in PubChem
109,"1,3-Butadiene-1-Chloro 1-Chloro-buta-1,3-diene","1,3-Butadiene-1-Chloro 1-Chloro-buta-1,3-diene",,not found in PubChem
114,"1,3-Dichloro-2-butene 1,3-Dichloro-but-2-ene","1,3-Dichloro-2-butene 1,3-Dichloro-but-2-ene",,not found in PubChem
117,"1,3-Dichloropropane 1,3-Dichloro-propane","1,3-Dichloropropane 1,3-Dichloro-propane",,not found in PubChem
119,"1,3-Dimethoxy Butane 1,3-Dimethoxy-butane","1,3-Dimethoxy Butane 1,3-Dimethoxy-butane",,not found in PubChem
122,"1,3-Dioxolane [1,3]Dioxane","1,3-Dioxolane [1,3]Dioxane",,not found in PubChem
125,"1,3-Pentadiene (Trans) (E)-Penta-1,3-diene","1,3-Pentadiene (Trans) (E)-Penta-1,3-diene",,not found in PubChem
128,"1,3-Propanediol (Trimethyleneglycol) Propane-1,3-diol","1,3-Propanediol (Trimethyleneglycol) Propane-1,3-diol",,not found in PubChem
129,"1,4-Butandiol Diacrylate","1,4-Butandiol Diacrylate",,not found in PubChem
131,"1,4-Butanediol Butane-1,4-diol","1,4-Butanediol Butane-1,4-diol",,not found in PubChem
133,"1,4-Dichloro-2-Butene 1,4-Dichloro-but-2-ene","1,4-Dichloro-2-Butene 1,4-Dichloro-but-2-ene",,not found in PubChem
135,"1,4-Dichlorobutane 1,4-Dichloro-butane","1,4-Dichlorobutane 1,4-Dichloro-butane",,not found in PubChem
140,"1,4-Thioxane [1,4]Oxathiane","1,4-Thioxane [1,4]Oxathiane",,not found in PubChem
141,"1,4Diethylbenzene","1,4Diethylbenzene",,not found in PubChem
143,"1,5-Dichloropentane 1,5-Dichloro-pentane","1,5-Dichloropentane 1,5-Dichloro-pentane",,not found in PubChem
153,"1,9-Nonanediol Nonane-1,9-diol","1,9-Nonanediol Nonane-1,9-diol",,not found in PubChem
159,1-Bromo Propene (CIS) (Z)-1-Bromo-propene,1-Bromo Propene (CIS) (Z)-1-Bromo-propene,,not found in PubChem
164,1-Bromopropane 1-Bromo-propane,1-Bromopropane 1-Bromo-propane,,not found in PubChem
166,1-Butanethiol Butane-1-thiol,1-Butanethiol Butane-1-thiol,,not found in PubChem
169,1-Butene But-1-ene,1-Butene But-1-ene,,not found in PubChem
171,1-Butenyl Methyl Ether 4-Methoxy-but-1-ene,1-Butenyl Methyl Ether 4-Methoxy-but-1-ene,,not found in PubChem
174,1-Chloro Pentane 1-Chloro-pentane,1-Chloro Pentane 1-Chloro-pentane,,not found in PubChem
175,1-Chloro Vinyl Ethyl Ether,1-Chloro Vinyl Ethyl Ether,,not found in PubChem
179,1-Chloro-1-Nitroethane 1-Chloro-1-nitro-ethane,1-Chloro-1-Nitroethane 1-Chloro-1-nitro-ethane,,not found in PubChem
182,1-Chloro-2-Butene 1-Chloro-but-2-ene,1-Chloro-2-Butene 1-Chloro-but-2-ene,,not found in PubChem
189,1-Chlorohexane 1-Chloro-hexane,1-Chlorohexane 1-Chloro-hexane,,not found in PubChem
191,1-Chloronaphthalene 1-Chloro-naphthalene,1-Chloronaphthalene 1-Chloro-naphthalene,,not found in PubChem
193,1-Chloropropene 1-Chloro-propene,1-Chloropropene 1-Chloro-propene,,not found in PubChem
195,1-Decanol* Decan-1-ol,1-Decanol* Decan-1-ol,,not found in PubChem
197,1-Decene Dec-1-ene,1-Decene Dec-1-ene,,not found in PubChem
198,1-Ethoxy Ethoxy-2-Propanol,1-Ethoxy Ethoxy-2-Propanol,,not found in PubChem
199,1-Ethyl Vinyl Ethyl Ether,1-Ethyl Vinyl Ethyl Ether,,not found in PubChem
200,1-Ethyl Vinyl Ethyl Ether 2-Ethoxy-but-1-ene,1-Ethyl Vinyl Ethyl Ether 2-Ethoxy-but-1-ene,,not found in PubChem
201,1-Fluoro Acrylic Acid 2-Fluoro-acrylic acid,1-Fluoro Acrylic Acid 2-Fluoro-acrylic acid,,not found in PubChem
202,1-Fluoro Acrylonitrile 2-Fluoro-acrylonitrile,1-Fluoro Acrylonitrile 2-Fluoro-acrylonitrile,,not found in PubChem
