name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url
Acrylonitrile butadiene styrene (ABS),9003-56-9,17.0,5.7,6.8,9.4,Polystyrene,0.75,1,accudyne_polymers,
Cellophane,9005-81-6,16.1,18.5,14.5,7.3,Cellulose,0.75,1,accudyne_polymers,
Cellulose acetate (CA),9004-35-7,17.1,13.1,9.4,10.6,Cellulose,0.75,1,accudyne_polymers,
Cellulose acetate butyrate (CAB),9004-36-8,17.2,13.8,2.8,12.6,Cellulose,0.75,1,accudyne_polymers,
Epoxies,,19.2,10.9,9.6,11.1,Epoxy,0.6,1,accudyne_polymers,
Ethyl cellulose,9004-57-3,19.0,5.6,4.9,7.9,Cellulose,0.75,1,accudyne_polymers,
Fluorinated ethylene polypropylene (FEP),25067-11-2,19.0,4.0,3.0,4.0,Polypropylene,0.75,1,accudyne_polymers,
Nitrocellulose (cellulose nitrate),9004-70-0,16.2,14.1,9.5,10.7,Cellulose,0.75,1,accudyne_polymers,
Nylon 11,25587-80-8,17.0,4.4,10.6,5.1,Polyamide,0.75,1,accudyne_polymers,
Nylon 12,24937-16-4,18.5,8.1,9.1,6.3,Polyamide,0.75,1,accudyne_polymers,
"Nylon 6 (polycaprolactum, aramid 6)",25038-54-4,17.0,3.4,10.6,5.1,Polyamide,0.75,1,accudyne_polymers,
"Nylon 6,6",32131-17-2,17.2,9.9,16.5,4.4,Polyamide,0.75,1,accudyne_polymers,
Poly iso-butyl methacrylate (PIBMA),9011-15-8,18.3,4.9,6.3,9.4,Polyacrylate,0.75,1,accudyne_polymers,
Poly n-butyl methacrylate (PnBMA),95608-33-7,16.0,6.2,6.6,9.5,Polyacrylate,0.75,1,accudyne_polymers,
Polyacrylonitrile (PAN),25014-41-9,21.7,14.1,9.1,10.9,Polyacrylonitrile,0.75,1,accudyne_polymers,
Polybutadiene,9003-17-2,17.5,2.3,3.4,6.6,Polybutadiene,0.75,1,accudyne_polymers,
Polycarbonate (PC),24936-68-3,19.6,8.8,5.7,10.2,Polycarbonate,0.75,1,accudyne_polymers,
Polychlorotrifluoroethylene,9002-83-9,15.6,2.5,4.7,5.8,Fluoropolymer,0.75,1,accudyne_polymers,
Polyetherimide (PEI),61128-46-9,17.7,6.0,6.4,4.8,Polyetherimide,0.75,1,accudyne_polymers,
Polyethersulfone (PES),25154-01-2,18.3,8.2,6.4,6.3,Polyethersulfone,0.75,1,accudyne_polymers,
Polyethyl methacrylate (PEMA),9003-42-3,17.5,8.5,4.7,9.6,Polyacrylate,0.75,1,accudyne_polymers,
Polyethylene (PE),9002-88-4,16.8,3.8,3.8,6.6,Polyethylene,0.75,1,accudyne_polymers,
Polyethylene terephthalate (PET),25038-59-9,18.7,6.3,6.7,6.5,Polyester,0.75,1,accudyne_polymers,
"Polyisobutylene (PIB, butyl (rubber)",9003-27-4,16.4,1.7,4.7,7.9,Elastomer,0.75,1,accudyne_polymers,
Polyisoprene (PIP),9003-31-0,18.1,2.4,2.3,10.3,Polyisoprene,0.75,1,accudyne_polymers,
Polymethacrylonitrile (PMAN),25067-61-2,17.2,14.4,7.6,3.8,,0.75,1,accudyne_polymers,
"Polymethyl methacrylate (PMMA, acrylic, plexiglas)",9011-14-7,17.9,10.1,5.4,11.0,Polyacrylate,0.75,1,accudyne_polymers,
Polyphenylene oxide (PPO),25134-01-4,17.9,3.1,8.5,8.6,Polyphenylene Oxide,0.75,1,accudyne_polymers,
Polyphenylene sulfide (PPS),26125-40-6,18.7,5.3,3.7,6.7,Polyphenylene Sulfide,0.75,1,accudyne_polymers,
Polypropylene (PP),,17.7,2.9,1.2,6.2,Polypropylene,0.6,1,accudyne_polymers,
Polystyrene (PS),9003-53-6,22.8,5.8,4.3,12.7,Polystyrene,0.75,1,accudyne_polymers,
Polysulfone (PSU),25135-51-7,18.5,8.5,7.0,9.4,Polysulfone PSU,0.75,1,accudyne_polymers,
Polytetrafluoroethylene (PTFE),9002-84-0,16.2,1.8,3.4,3.9,Fluoropolymer,0.75,1,accudyne_polymers,
Polyurethanes,,18.8,10.0,8.2,9.8,Polyurethane,0.6,1,accudyne_polymers,
Polyvinyl acetate (PVA),9003-20-7,20.9,11.3,9.7,13.7,Polyvinylacetate,0.75,1,accudyne_polymers,
Polyvinyl alcohol (PVOH),25213-24-5,14.7,14.1,14.9,10.5,Polyvinyl Alcohol,0.75,1,accudyne_polymers,
Polyvinyl butyral,63148-65-2,19.1,9.5,12.2,10.0,Polyvinylbutyral,0.75,1,accudyne_polymers,
Polyvinyl chloride (PVC),9002-86-2,16.8,8.9,6.1,8.5,Polyvinylchloride,0.75,1,accudyne_polymers,
"Polyvinylidene chloride (PVDC, Saran)",9002-85-1,19.0,9.6,9.0,5.8,Polyvinylidene Chloride,0.75,1,accudyne_polymers,
Polyvinylidene fluoride (PVDF),24937-79-9,17.0,12.1,10.2,4.1,Polyvinylidene Chloride,0.75,1,accudyne_polymers,
