name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"1,1,1-Trichlorethane (methyl chloroform)",71-55-6,,C2H3Cl3,16.8,4.3,2.0,133.4,,,99.3,halogenated,,0.75,1,accudyne_solvents,,
"1,2-Dichlorobenzene",95-50-1,,C6H4Cl2,19.2,6.3,3.3,147.0,,,112.8,halogenated,,0.75,1,accudyne_solvents,,
"1,2-Dichloroethane (ethylene dichloride)",107-06-2,,C2H4Cl2,19.0,7.4,4.1,98.96,,,79.4,halogenated,,0.75,1,accudyne_solvents,,
"1,2-Dimethoxyethane (DME, ethylene glycol dimethyl ether)",110-71-4,,C4H10O2,15.4,6.3,6.0,90.12,,,103.9,alcohol,,0.75,1,accudyne_solvents,,
"1,2-Propanediol (propylene glycol)",57-55-6,,C3H8O2,16.8,9.4,23.3,76.1,,,73.6,alcohol,,0.75,1,accudyne_solvents,,
"1,3-Butanediol",107-88-0,,C4H10O2,16.6,10.0,21.5,90.12,,,89.9,hydrocarbon,,0.75,1,accudyne_solvents,,
"1,4-Dioxane",123-91-1,,C4H8O2,19.0,1.8,7.4,88.11,,,85.7,ether,,0.75,1,accudyne_solvents,,
1-Bromonaphthalene,90-11-9,,C10H7Br,20.3,3.1,4.1,207.07,,,140.0,halogenated,,0.75,1,accudyne_solvents,,
1-Butanol (n-butyl alcohol),71-36-3,,C4H10O,16.0,5.7,15.8,74.12,,,91.5,alcohol,,0.75,1,accudyne_solvents,,
"1-Propanol (n-propanol, n-propyl alcohol)",71-23-8,,C3H8O,16.0,6.8,17.4,60.1,,,75.2,alcohol,,0.75,1,accudyne_solvents,,
2-Aminoethanol (ethanolamine),141-43-5,,C2H7NO,17.0,15.5,21.2,61.08,,,59.8,alcohol,,0.75,1,accudyne_solvents,,
2-Butanol (sec-butanol),78-92-2,,C4H10O,15.8,5.7,14.5,74.12,,,92.0,alcohol,,0.75,1,accudyne_solvents,,
2-Butanone (methyl ethyl ketone),78-93-3,,C4H8O,16.0,9.0,5.1,72.11,,,90.1,ketone,,0.75,1,accudyne_solvents,,
2-Butoxyethanol (ethylene glycol monobutyl ether),111-76-2,,C6H14O2,16.0,5.1,12.3,118.17,,,131.6,alcohol,,0.75,1,accudyne_solvents,,
2-Ethoxyethanol (ethylene glycol monoethyl ether),110-80-5,,C4H10O2,16.2,9.2,14.3,90.12,,,97.8,alcohol,,0.75,1,accudyne_solvents,,
2-Ethyl-1-hexanol,104-76-7,,C8H18O,15.9,3.3,11.8,130.23,,,156.6,alcohol,,0.75,1,accudyne_solvents,,
2-Furanmethanol (furfuryl alcohol),98-00-0,,C5H6O2,17.4,7.6,15.1,98.1,,,86.5,alcohol,,0.75,1,accudyne_solvents,,
2-Heptanone (methyl n-amyl ketone),110-43-0,,C7H14O,16.2,5.7,4.1,114.18,,,139.8,ketone,,0.75,1,accudyne_solvents,,
2-Methoxymethanol (ethylene glycol monomethyl ether),109-86-4,,C3H8O2,16.2,9.2,16.4,76.1,,,79.1,alcohol,,0.75,1,accudyne_solvents,,
2-Methylpropyl alcohol (isobutanol),78-83-1,,C4H10O,15.1,5.7,15.9,74.12,,,92.8,alcohol,,0.75,1,accudyne_solvents,,
2-Methylpropyl ethanoate (isobutyl acetate),110-19-0,,C6H12O2,15.1,3.7,6.3,116.16,,,133.5,ester,,0.75,1,accudyne_solvents,,
2-Propanol (isopropyl alcohol),67-63-0,,C3H8O,15.8,6.1,16.4,60.1,,,76.8,alcohol,,0.75,1,accudyne_solvents,,
3-Methylphenol (m-Cresol),108-39-4,,C7H8O,18.0,5.1,12.9,108.14,,,104.7,alcohol,,0.75,1,accudyne_solvents,,
4-Methyl-2-pentanone (methyl isobutyl ketone),108-10-1,,C6H12O,15.3,6.1,4.1,100.16,,,125.8,ketone,,0.75,1,accudyne_solvents,,
Acetic acid (ethanoic acid),64-19-7,,C2H4O2,14.5,8.0,13.5,60.05,,,57.1,acid,,0.75,1,accudyne_solvents,,
Acetone (propanone),67-64-1,,C3H6O,15.5,10.4,7.0,58.08,,,74.0,ketone,,0.75,1,accudyne_solvents,,
Acetonitrile (ethane nitrile),75-05-8,,C2H3N,15.3,18.0,6.1,41.05,,,52.6,nitrile,,0.75,1,accudyne_solvents,,
Acetophenone (1-phenylethanone),98-86-2,,C8H8O,19.6,8.6,3.7,120.15,,,117.4,ketone,,0.75,1,accudyne_solvents,,
