name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"1,1,1,2-Tetrachloroethane",,,,18.0,4.4,4.2,,,,105.0,halogenated,,0.8,1,hansen_a1,,
"1,1,1-Trichloroethane",,,,16.8,4.3,2.0,,,,99.3,halogenated,,0.8,1,hansen_a1,,
"1,1,1-Trifluoroethan",,,,14.6,10.7,0.0,,,,64.6,halogenated,,0.8,1,hansen_a1,,
"1,1,2,2-Tetrabromoethane",,,,22.6,5.1,8.2,,,,116.8,halogenated,,0.8,1,hansen_a1,,
"1,1,2,2-Tetrachloroethane",,,,18.8,5.1,5.3,,,,105.2,halogenated,,0.8,1,hansen_a1,,
"1,1,2,2-Tetrachloropropane",,,,17.9,6.7,3.3,,,,123.7,halogenated,,0.8,1,hansen_a1,,
"1,1,2-Trichloro Propene",,,,17.7,15.7,3.4,,,,104.8,halogenated,,0.8,1,hansen_a1,,
"1,1,2-Trichloroethane",,,,18.2,5.3,6.8,,,,92.9,halogenated,,0.8,1,hansen_a1,,
"1,1,2-Trichlorotrifluoroethane (Freon 113)",,,,14.7,1.6,0.0,,,,119.2,halogenated,,0.8,1,hansen_a1,,
"1,1,3,3-Tetramethoxypropane",,,,15.0,7.1,6.8,,,,164.7,hydrocarbon,,0.8,1,hansen_a1,,
"1,1-Diallyloxyethane",,,,15.4,5.1,4.8,,,,163.3,other,,0.8,1,hansen_a1,,
"1,1-Dibromo Ethylene",,,,15.1,4.8,7.0,,,,85.3,halogenated,,0.8,1,hansen_a1,,
"1,1-Dibromoethane",,,,18.5,8.4,8.8,,,,91.4,halogenated,,0.8,1,hansen_a1,,
"1,1-Dichloroacetone",,,,17.1,7.6,5.4,,,,97.3,ketone,,0.8,1,hansen_a1,,
"1,1-Dichloroethane",,,,16.5,7.8,3.0,,,,84.2,halogenated,,0.8,1,hansen_a1,,
"1,1-Dichloroethylene",,,,16.4,5.2,2.4,,,,79.9,halogenated,,0.8,1,hansen_a1,,
"1,1-Dichloropropane",,,,16.1,7.8,3.5,,,,98.3,halogenated,,0.8,1,hansen_a1,,
"1,1-Dichloropropene",,,,16.9,6.7,2.9,,,,93.5,halogenated,,0.8,1,hansen_a1,,
"1,1-Diethoxy Butane",,,,15.4,4.9,4.6,,,,177.6,hydrocarbon,,0.8,1,hansen_a1,,
"1,1-Diethoxy Ethane",,,,15.0,3.4,4.0,,,,143.9,other,,0.8,1,hansen_a1,,
"1,1-Diethoxy Ethane (Acetal)",,,,15.2,5.4,5.3,,,,142.2,other,,0.8,1,hansen_a1,,
"1,1-Difluoroet ylene",,,,15.0,6.8,3.6,,,,58.2,halogenated,,0.8,1,hansen_a1,,
"1,1-Difluoroethan",,,,14.9,10.2,3.0,,,,69.5,halogenated,,0.8,1,hansen_a1,,
"1,1-Dimethoxy Ethane",,,,15.1,4.9,4.9,,,,106.7,other,,0.8,1,hansen_a1,,
"1,1-Dimethyl Hydrazine",,,,15.3,5.9,11.0,,,,76.0,other,,0.8,1,hansen_a1,,
"1,2,3,4-Tetramethylbenzene",,,,18.8,0.5,0.5,,,,148.3,aromatic,,0.8,1,hansen_a1,,
"1,2,3,5-Tetramethylbenzene",,,,18.6,0.5,0.5,,,,150.8,aromatic,,0.8,1,hansen_a1,,
"1,2,3-Triazole",,,,20.7,8.8,15.0,,,,58.2,other,,0.8,1,hansen_a1,,
"1,2,3-Trichloro Propene",,,,17.8,15.7,3.4,,,,105.0,halogenated,,0.8,1,hansen_a1,,
"1,2,3-Trichloropropane",,,,17.8,12.3,3.4,,,,106.1,halogenated,,0.8,1,hansen_a1,,
"1,2,4,5-Tetrachlorobenzene 1,2,4,5-T",,,,21.2,10.7,3.4,,,,116.2,halogenated,,0.8,1,hansen_a1,,
"1,2,4-Trichlorobenzene",,,,20.2,6.0,3.2,,,,125.5,halogenated,,0.8,1,hansen_a1,,
"1,2-Butadiene",,,,14.7,1.7,6.2,,,,82.3,other,,0.8,1,hansen_a1,,
"1,2-Chlorobromoethylene",,,,17.2,6.6,2.3,,,,78.7,halogenated,,0.8,1,hansen_a1,,
"1,2-Dibromoethylene",,,,18.0,4.9,3.0,,,,82.7,halogenated,,0.8,1,hansen_a1,,
"1,2-Dichloroethylene (cis)",,,,17.0,8.0,3.2,,,,75.5,halogenated,,0.8,1,hansen_a1,,
"1,2-Dichloropropene (cis)",,,,17.0,8.5,2.9,,,,93.9,halogenated,,0.8,1,hansen_a1,,
"1,2-Dichlorotetrafluoroethane",,,,12.6,1.8,0.0,,,,117.6,halogenated,,0.8,1,hansen_a1,,
"1,2-Dichlorovinyl Ethyl Ether",,,,16.9,10.5,6.0,,,,117.8,ether,,0.8,1,hansen_a1,,
"1,2-Diethyl Benzene",,,,17.7,0.1,1.0,,,,153.5,aromatic,,0.8,1,hansen_a1,,
"1,2-Dihydroxybenzene (Catechol)",,,,20.0,11.3,21.8,,,,81.9,alcohol,,0.8,1,hansen_a1,,
"1,2-Dimethoxybenzene",,,,19.2,4.4,9.4,,,,127.7,aromatic,,0.8,1,hansen_a1,,
"1,2-Dinitrobenzene",,,,20.6,22.7,5.4,,,,107.4,nitro,,0.8,1,hansen_a1,,
"1,2-Epoxy Butane",,,,15.6,8.0,4.6,,,,87.9,hydrocarbon,,0.8,1,hansen_a1,,
"1,2-Epoxy-2-Propene",,,,16.5,8.6,6.7,,,,70.0,other,,0.8,1,hansen_a1,,
"1,2-Ethane Dithiol",,,,17.9,7.2,8.7,,,,83.9,sulfur compound,,0.8,1,hansen_a1,,
"1,2-Methylenedioxybenzene",,,,19.0,6.7,5.9,,,,114.8,aromatic,,0.8,1,hansen_a1,,
"1,2-Propadiene (Allene)",,,,15.3,3.0,6.8,,,,60.1,other,,0.8,1,hansen_a1,,
"1,3,5-Trioxane",,,,18.7,9.2,8.6,,,,77.0,other,,0.8,1,hansen_a1,,
"1,3-Benzenediol",,,,18.0,8.4,21.0,,,,87.5,aromatic,,0.8,1,hansen_a1,,
"1,3-Butadiene",,,,14.8,2.8,5.6,,,,83.2,other,,0.8,1,hansen_a1,,
"1,3-Butadiene-1,2-Di-Chloro",,,,17.0,10.7,2.8,,,,102.5,halogenated,,0.8,1,hansen_a1,,
"1,3-Butadiene-1-Chloro",,,,15.6,8.5,2.0,,,,92.2,halogenated,,0.8,1,hansen_a1,,
"1,3-Butanediol",,,,16.6,10.0,21.5,,,,89.9,hydrocarbon,,0.8,1,hansen_a1,,
"1,3-Dichloro-2-butene",,,,16.9,7.8,2.7,,,,107.7,halogenated,,0.8,1,hansen_a1,,
"1,3-Dichloro-2-Fluorobenzene",,,,19.4,9.1,2.7,,,,117.1,halogenated,,0.8,1,hansen_a1,,
"1,3-Dichloro-2-Propanol",,,,17.5,9.9,14.6,,,,95.5,alcohol,,0.8,1,hansen_a1,,
"1,3-Dichloropropane",,,,18.6,8.2,3.0,,,,95.1,halogenated,,0.8,1,hansen_a1,,
"1,3-Dimethoxy Butane",,,,15.6,5.5,5.2,,,,140.0,hydrocarbon,,0.8,1,hansen_a1,,
"1,3-Dioxolane",,,,18.1,6.6,9.3,,,,69.9,ether,,0.8,1,hansen_a1,,
"1,3-Pentadiene (Trans)",,,,14.7,2.5,5.0,,,,101.7,other,,0.8,1,hansen_a1,,
