no,solvent_name,autonom_acd_name,dispersion,polarity,hydrogen_bonding,molar_volume
1,Acetaldehyde,Acetaldehyde,14.7,12.5,7.9,56.6
2,Acetaldoxime,Acetaldehyde oxime,16.3,4.0,20.2,61.2
3,Acetamide,Acetamide,17.3,18.7,22.4,60.8
4,Acetanilide,N-Phenyl-acetamide,20.6,13.3,12.4,110.9
5,Acetic Acid,Acetic acid,14.5,8.0,13.5,57.1
6,Acetic Anhydride,Acetic anhydride,16.0,11.7,10.2,94.5
7,Acetone,Propan-2-one,15.5,10.4,7.0,74.0
8,Acetonecyanhydrin,2-Hydroxy-2-methyl- propionitrile,16.6,12.2,15.5,94.0
9,Acetonemethyloxime,Propan-2-one O-methyl-,14.7,4.6,4.6,96.7
10,Acetonitrile,Acetonitrile,15.3,18.0,6.1,52.6
11,Acetophenone,1-Phenyl-ethanone,19.6,8.6,3.7,117.4
12,Acetoxime,Propan-2-one oxime,16.3,3.7,10.9,80.2
765,"1-Acetoxy-1,3-butadiene","Acetic acid buta-1,3- dienyl ester",16.1,4.4,8.3,118.4
13,N-Acetyl Caprolactam,1-Acetyl-azepan-2-one,18.9,8.7,4.8,155.0
14,N-Acetyl Morpholine,1-Morpholin-4-yl-,18.3,5.3,7.8,115.6
15,N-Acetyl Piperidine,1-Piperazin-1-yl-,18.5,10.0,6.5,125.8
16,N-Acetyl Pyrrolidone,1-Acetyl-pyrrolidin-2-,17.8,13.1,8.3,127.0
1116,Acetyl Salicylic Acid,2-Acetoxy-benzoic acid,19.0,6.6,9.3,133.5
785,2-Acetyl Thiophene,1-Thiophen-2-yl- ethanone,19.1,12.2,9.3,108.0
1219,Acetyl Triethyl Citrate,3-Acetoxy-3- O ethoxycarbonyl- pentanedioic acid,16.6,3.5,8.6,279.9
17,Acetylacetone,"Pentane-2,4-dione",16.1,11.2,6.2,103.0
18,Acetylbromide,Acetyl bromide,16.7,10.6,5.2,74.0
19,Acetylchloride,Acetyl chloride,16.2,11.2,5.8,71.4
20,Acetylene (Ethyne),Ethyne,14.4,4.2,11.9,42.1
21,Acetylfluorid,Acetyl fluorid,14.7,14.0,5.7,62.0
860,Acridine,Acridine,21.7,5.9,2.0,163.0
22,Acrolein,Propenal,15.0,7.2,7.8,66.7
23,Acrylamide,Acrylamide,15.8,12.1,12.8,63.4
24,Acrylic Acid,Acrylic acid,17.7,6.4,14.9,68.5
25,Acrylonitrile,Acrylonitrile,16.0,12.8,6.8,67.1
26,Acrylylchloride,Acryloyl chloride,16.2,11.6,5.4,81.3
1152,"Adipic Acid (1,6-Hexanedioic)",Hexanedioic acid,17.1,9.0,14.6,107.5
1195,Adrenaline,"4-((R)-1-Hydroxy-2- benzene-1,2-diol",20.5,8.7,19.9,154.5
1088,alfa-Chloro Acetophenone,2-Chloro-1-phenyl-,20.0,9.6,5.7,116.8
27,Allyl Acetate,Acetic acid allyl ester,15.7,4.5,8.0,108.5
28,Allyl Acetic Acid,Pent-4-enoic acid,16.7,4.7,11.3,102.1
769,Allyl Acetoacetate,3-Oxo-butyric acid allyl ester,15.9,6.9,8.6,137.8
29,Allyl Acetonitrile (4-Pentenenitrile),Pent-4-enenitrile,16.3,11.2,5.0,98.5
30,Allyl Alcohol,Prop-2-en-1-ol,16.2,10.8,16.8,68.4
31,Allyl Amine,Allylamine,15.5,5.7,10.6,74.9
32,Allyl Bromide (3-Bromoprene),3-Bromo-propene,16.5,7.3,4.9,86.5
33,Allyl Chloride,3-Chloro-propene,17.0,6.2,2.3,82.3
34,Allyl Cyanide,But-3-enenitrile,16.0,14.3,5.6,80.5
35,Allyl Ethylether,3-Ethoxy-propene,15.0,4.8,5.1,112.6
36,Allyl Fluoride,3-Fluoro-propene,14.9,6.4,1.0,71.5
37,Allyl Formate,Formic acid allyl ester,15.7,5.4,8.8,91.0
38,Allyl Iodide,3-Iodo-propene,17.4,6.4,3.3,90.8
39,Allyl Isocyanide,3-Isocyano-propene,16.1,13.0,5.4,84.5
967,Allyl Isopropyl Ether,3-Isopropoxy-propene,15.0,4.1,7.1,129.0
40,Allyl Isothiocyanate,3-Isothiocyanato- propene,17.0,11.3,8.5,98.0
42,Allyl Mercaptan,Prop-2-ene-1-thiol,16.4,6.2,7.9,80.2
1018,Allyl Methacrylate,2-Methyl-acrylic acid allyl ester,15.2,4.1,7.5,134.8
43,Allyl Methylether,3-Methoxy-propene ammonium carboxylic acid,15.0,4.3,5.9,93.7
44,Ammonia,Ammonia,13.7,15.7,17.8,20.8
1179,Amphetamine,1-Methyl-2-phenyl- ethylamine,17.5,4.3,6.3,148.1
45,Amyl Acetate,Acetic acid pentyl ester,15.8,3.3,6.1,148.0
699,Anethole (Trans),1-Methoxy-4-((E)- propenyl)-benzene,19.0,4.3,8.7,150.0
46,Aniline,Phenylamine,19.4,5.1,10.2,91.5
1113,Anisaldehyde (2-Methoxy,2-Methoxy-,19.4,11.9,8.3,120.8
949,Anisidine (2-Methoxyaniline),2-Methoxy-phenylamine,19.5,5.4,11.4,112.2
47,p-Anisidine (Methoxy Aniline),4-Methoxy-phenylamine,19.9,6.5,11.3,113.3
48,Anisole,Methoxy-benzene,17.8,4.1,6.7,119.1
1163,Ascorbic Acid,"(R)-5-((S)-1,2- dihydroxy-5H-furan-2-",18.0,12.6,27.6,106.7
49,Azidoethane,Azido-ethane,15.9,8.9,12.9,79.0
50,3-Azidopropene,3-Azido-propene,16.8,7.7,13.4,83.0
807,Benzal Chloride,Dichloromethyl-benzene,19.9,6.6,2.4,134.2
51,Benzaldehyde,Benzaldehyde,19.4,7.4,5.3,101.5
1055,Benzamide,Benzamide,21.2,14.7,11.2,90.3
