number,polymer_name,category,dispersion,polar,hydrogen_bonding,interaction_radius
1,CELLIT BP-300,Cellulose Acetobutyrate,16.6,12.0,6.7,10.2
2,CELLIDORA A,Cellulose Acetate,18.2,12.4,10.8,7.4
3,ETHOCEL HE10,Ethyl Cellulose,17.9,4.3,3.9,5.9
4,ETHOCEL STD 20,Ethyl Cellulose,20.1,6.9,5.9,9.9
5,ARALDITE DY O25,Epoxy,14.0,7.4,9.4,13.7
6,EPIKOTE 828,Epoxy,23.1,14.6,5.0,20.5
7,EPIKOTE 1001,Epoxy,20.0,10.32,10.11,10.02
8,EPIKOTE 1004,Epoxy,17.4,10.5,9.0,7.9
9,EPIKOTE 1007,Epoxy,21.0,11.1,13.4,11.7
10,EPIKOTE 1009,Epoxy,19.3,9.37,10.95,8.26
11,PKHH,Epoxy,23.4,7.2,14.8,14.9
12,VERSAMID 100,Epoxy Curing Agents,23.8,5.3,16.2,16.1
13,VERSAMID 115,Epoxy Curing Agents,20.3,6.6,14.1,9.6
14,VERSAMID 125,Epoxy Curing Agents,24.9,3.1,18.7,20.3
15,VERSAMID 140,Epoxy Curing Agents,26.9,2.4,18.5,24.0
16,DESMOPHEN 651,Polyurethane,17.7,10.6,11.6,9.5
17,DESMOPHEN 800,Polyurethane,19.1,12.2,9.9,8.0
18,DESMOPHEN 850,Polyurethane,21.54,14.94,12.28,16.78
19,DESMOPHEN 1100,Polyurethane,16.0,13.1,9.2,11.4
20,DESMOPHEN 1150,Polyurethane,20.6,7.8,11.6,13.1
21,DESMOPHEN 1200,Polyurethane,19.4,7.4,6.0,9.8
22,DESMOPHEN 1700,Polyurethane,17.9,9.6,5.9,8.2
23,DESMOLAC 4200,Polyurethane,18.7,9.6,9.9,8.2
24,MACRYNAL SM 510N,Polyurethane,19.9,8.1,6.0,9.8
25,SUPER BECKACITE 1001,Phenolic Resins,23.26,6.55,8.35,19.85
26,PHENODUR 373U,Phenolic Resins,19.74,11.62,14.59,12.69
27,PLIOLYTE S-100,Hydrocarbon Resins,16.47,0.37,2.84,8.59
28,PICCOPALE 110,Hydrocarbon Resins,17.55,1.19,3.6,6.55
29,PICCORONE 450L,Hydrocarbon Resins,19.42,5.48,5.77,9.62
30,POLYSAR 5630,Styrene-Butadiene (SBR),17.55,3.35,2.7,6.55
31,HYCAR 1052,Acrylonitrile-Butadiene,18.62,8.78,4.17,9.62
32,BUNA HULS B10,Polybutadiene,17.53,2.25,3.42,6.55
33,CARIFLEX IR 305,Polyisoprene,16.57,1.41,-0.82,9.62
34,LUTONAL IC/1203,Polyisobutylene,14.2,2.5,4.6,12.4
35,LUTANAL I60,Polyisobutylene,16.9,2.5,4.0,7.2
36,POLYVINYLBUTYL ETHER,Polyisobutylene,17.4,4.3,8.4,7.4
37,LIGNIN,Special,20.17,14.61,15.04,11.66
38,MODAFLOW,Special,16.1,3.7,7.9,8.9
39,VIPLA KR (PVC),Polyvinylchloride,18.4,6.6,8.0,3.0
40,CERECLOR 70,Chloroparaffin,20.0,8.3,6.8,9.8
41,CHLOROPAR 40,Chloroparaffin,17.0,7.6,7.9,11.9
42,PERGUT S 5,Chlorinated Rubber,17.4,9.5,3.8,10.0
43,ALLOPREN R10,Chlorinated Rubber,17.4,4.3,3.9,6.1
44,PARLON P 10,Chlorinated Polypropylene,20.26,6.32,5.4,10.64
45,HYPALON 20,Chlorosulfonated PE,18.1,3.4,4.9,3.6
46,HYPALON 30,Chlorosulfonated PE,18.2,4.7,2.0,5.0
47,ALPEX,Cyclized Rubber,19.9,0.0,0.0,9.4
48,1/2-sec.-NITRO CELLULOSE H 23,Nitrocellulose,15.41,14.73,8.84,11.46
49,CELLOLYN 102,Rosin Derivatives,21.73,0.94,8.53,15.75
50,PENTALYN 255,Rosin Derivatives,17.55,9.37,14.32,10.64
51,PENTALYN 830,Rosin Derivatives,20.03,5.81,10.93,11.66
52,ESTER GUM BL,Rosin Derivatives,19.64,4.73,7.77,10.64
53,VERSAMID 930,Polyamide,17.43,-1.92,14.89,9.62
54,VERSAMID 961,Polyamide,18.9,9.6,11.1,6.2
55,VERSAMID 965,Polyamide,20.15,6.04,12.9,9.2
56,DESMODUR L,Isocyanate,17.5,11.3,5.9,8.5
57,DESMODUR N,Isocyanate,17.6,10.0,3.7,9.3
58,SUPRASEC F-5100,Isocyanate,19.7,12.9,12.8,11.4
59,MOWITAL B 30 H,Polyvinylbutyral,18.6,12.9,10.3,8.3
60,MOWITAL B 60 H,Polyvinylbutyral,20.2,11.2,13.3,11.2
61,BUTVAR B 76,Polyvinylbutyral,18.6,4.36,13.03,10.64
62,LUCITE 2042 PEMA,Polyacrylate,17.6,9.66,3.97,10.64
63,LUCITE 2044 PMMA,Polyacrylate,16.2,6.8,5.7,9.1
64,PLEXIGUM MB319,Polyacrylate,18.6,10.8,4.1,11.5
65,PLEXIGUM M527,Polyacrylate,18.4,9.4,6.5,10.7
66,PMMA,Polyacrylate,18.64,10.52,7.51,8.59
67,MOWILITH 50 PVAC,Polyvinylacetate,20.93,11.27,9.66,13.71
68,POLYSTYRENE LG,Polystyrene,22.28,5.75,4.3,12.68
69,LAROFLEX MP 45,Vinyl Chloride Copolymers,18.4,8.4,5.8,9.0
70,VILIT MB 30,Vinyl Chloride Copolymers,20.0,8.3,6.7,9.4
71,VILIT MC 31,Vinyl Chloride Copolymers,20.0,8.3,6.7,9.4
72,VILIT MC 39,Vinyl Chloride Copolymers,18.4,7.6,6.7,6.8
73,VINYLITE VAGD,Vinyl Chloride Copolymers,17.1,10.4,6.5,7.5
74,VINYLITE VAGH,Vinyl Chloride Copolymers,16.5,10.9,6.4,7.7
75,VINYLITE VMCA,Vinyl Chloride Copolymers,17.7,11.1,6.9,8.7
76,VINYLITE VMCC,Vinyl Chloride Copolymers,17.6,11.1,6.8,8.8
77,VINYLITE VMCH,Vinyl Chloride Copolymers,17.6,11.1,6.4,8.6
78,VINYLITE VYHH,Vinyl Chloride Copolymers,17.4,10.2,5.9,7.8
79,VINYLITE VYLF,Vinyl Chloride Copolymers,18.1,10.3,4.2,8.3
80,ALFTALAT AC 366,Binders in Solution: Alkyds and Polyesters,18.6,10.0,5.0,10.4
81,ALFTALAT AM 756,Binders in Solution: Alkyds and Polyesters,23.0,2.2,4.2,16.9
82,ALFTALAT AN 896,Binders in Solution: Alkyds and Polyesters,22.9,15.2,7.6,18.1
83,ALFTALAT AN 950,Binders in Solution: Alkyds and Polyesters,22.6,13.8,8.1,17.1
84,ALFTALAT AT 316,Binders in Solution: Alkyds and Polyesters,20.5,9.3,9.1,12.4
85,ALFTALAT AT 576,Binders in Solution: Alkyds and Polyesters,19.2,5.3,6.3,11.9
86,ALKYDAL F 261 HS,Binders in Solution: Alkyds and Polyesters,23.6,1.0,7.6,19.0
87,ALKYDAL F 41,Binders in Solution: Alkyds and Polyesters,20.6,4.6,5.5,12.6
88,DUROFTAL T 354,Binders in Solution: Alkyds and Polyesters,17.3,4.2,7.9,9.3
89,DYNAPOL L 812,Binders in Solution: Alkyds and Polyesters,22.6,13.1,5.8,16.8
90,DYNAPOL L 850,Binders in Solution: Alkyds and Polyesters,20.0,6.2,7.0,9.5
91,PLEXAL C-34,Binders in Solution: Alkyds and Polyesters,18.5,9.21,4.91,10.64
92,SOALKYD 1935-EGAX,Binders in Solution: Alkyds and Polyesters,18.0,11.6,8.5,9.0
93,VESTURIT BL 908,Binders in Solution: Alkyds and Polyesters,18.8,12.0,6.0,11.5
94,VESTURIT BL 915,Binders in Solution: Alkyds and Polyesters,17.7,13.0,7.6,11.5
95,BE 370,Amino Resins,20.7,6.1,12.7,14.8
96,BEETLE 681,Amino Resins,22.2,-0.4,10.1,18.4
97,CYMEL 300,Amino Resins,19.35,12.83,12.87,9.82
98,CYMEL 325,Amino Resins,25.5,15.2,9.5,22.2
99,DYNOMIN MM 9,Amino Resins,18.8,14.0,12.3,10.5
100,DYNOMIN UM 15,Amino Resins,19.9,15.8,13.4,11.7
101,SOAMIN M 60,Amino Resins,15.9,8.1,6.5,10.6
102,SYNRESIN A 560,Amino Resins,22.1,5.0,11.3,15.5
103,PLASTOPAL H,Amino Resins,20.81,8.29,14.96,12.69
104,UFORMITE MX-61,Amino Resins,22.7,2.8,5.4,16.2
105,URACRON 15,Acrylate Resins,19.2,7.7,5.7,10.6
106,PARALOID P 400,Acrylate Resins,19.2,9.6,9.3,12.2
107,PARALOID P 410,Acrylate Resins,19.6,9.1,6.8,12.2
108,PARALOID EXPER. RES. QR 954,Acrylate Resins,18.4,9.8,10.0,12.4
109,BAYSILON UD 125,Silicone Resins,19.4,9.9,10.1,6.9
110,TEFLON (SL2-),Silicone Resins,17.1,8.1,1.3,4.7
111,DOW EPOXY NOVOLAC 438,Special Data,20.3,15.4,5.3,15.1
112,DOW EPOXY NOVOLAC 444,Special Data,19.5,11.6,9.3,10.0
113,ZINK SILICATE - CHEMICAL RES.,Special Data,23.5,17.5,16.8,15.6
114,2-COMP EPOXY CHEMICAL RES.,Special Data,18.4,9.4,10.1,7.0
115,POLYVINYLIDINE FLUORIDE SOL.,Special Data,17.0,12.1,10.2,4.1
116,COAL TAR PITCH SOL.,Special Data,18.7,7.5,8.9,5.8
117,NITRILE 20 MIN,Practical Film Thickness,17.5,7.3,6.5,5.1
118,NITRILE 1 HR,Practical Film Thickness,16.6,9.1,4.4,10.0
119,NITRILE 4 HR,Practical Film Thickness,19.0,12.6,3.8,13.3
120,BUTYL 20 MIN,Practical Film Thickness,16.5,1.0,5.1,5.0
121,BUTYL 1 HR,Practical Film Thickness,15.8,-2.1,4.0,8.2
122,BUTYL 4 HR (2),Practical Film Thickness,17.6,2.1,2.1,7.0
123,NATURAL RUBBER 20 MIN,Practical Film Thickness,14.5,7.3,4.5,11.0
124,NATURAL RUBBER 1 HR,Practical Film Thickness,15.6,3.4,9.1,14.0
125,NATURAL RUBBER 4 HR,Practical Film Thickness,19.4,13.2,7.7,19.0
126,PVC 20 MIN,Practical Film Thickness,16.1,7.1,5.9,9.3
127,PVC 1 HR,Practical Film Thickness,14.9,11.1,3.8,13.2
128,PVC 4 HR,Practical Film Thickness,24.4,4.9,9.9,22.7
129,POLYVINYLALCOHOL 20 MIN,Practical Film Thickness,11.2,12.4,13.0,12.1
130,POLYVINYLALCOHOL 1 HR,Practical Film Thickness,15.3,13.2,13.5,8.8
131,POLYVINYLALCOHOL 4 HR,Practical Film Thickness,17.2,13.6,15.4,10.9
132,POLYETHYLENE 20 MIN,Practical Film Thickness,16.9,3.3,4.1,8.1
133,POLYETHYLENE 1 HR,Practical Film Thickness,17.1,3.1,5.2,8.2
134,POLYETHYLENE 4 HR,Practical Film Thickness,24.1,14.9,0.3,24.3
135,VITON 20 MIN,Practical Film Thickness,10.9,14.5,3.1,14.1
136,VITON 1 HR,Practical Film Thickness,16.5,8.1,8.3,6.6
137,VITON 4 HR,Practical Film Thickness,13.6,15.4,8.6,14.4
138,NEOPRENE 20 MIN,Practical Film Thickness,17.6,2.5,5.9,6.2
139,NEOPRENE 1 HR,Practical Film Thickness,19.0,8.0,0.0,13.2
140,NEOPRENE 4 HR,Practical Film Thickness,14.6,13.9,2.3,15.9
141,CH 5100 3 HR,Practical Film Thickness,16.6,5.4,4.0,3.8
142,CH 5200 3 HR,Practical Film Thickness,16.6,6.0,4.8,3.7
143,PVDC (110C) SOLUBILITY,High Temperature Solubility of PVDC,17.6,9.1,7.8,3.9
144,PVDC (130C) SOLUBILITY,High Temperature Solubility of PVDC,20.4,10.0,10.2,7.6
145,PES L C=1,Chemical Resistance of High Performance and Other Polymers,18.7,10.5,7.6,9.1
146,PES L B + C =1,Chemical Resistance of High Performance and Other Polymers,17.7,9.7,6.4,9.3
147,PPS CR 93°C,Chemical Resistance of High Performance and Other Polymers,18.8,4.8,6.8,2.8
148,PPS TS60%12MO,Chemical Resistance of High Performance and Other Polymers,18.7,5.3,3.7,6.7
149,PA6 CR,Chemical Resistance of High Performance and Other Polymers,17.0,3.4,10.6,5.1
150,PA66 SOL,Chemical Resistance of High Performance and Other Polymers,17.4,9.8,14.6,5.1
151,PA11 CR,Chemical Resistance of High Performance and Other Polymers,17.0,4.4,10.6,5.1
152,POMH+POMC CR,Chemical Resistance of High Performance and Other Polymers,17.1,3.1,10.7,5.2
153,PETP CR,Chemical Resistance of High Performance and Other Polymers,18.2,6.4,6.6,5.0
154,PTFE L80 CR,Chemical Resistance of High Performance and Other Polymers,16.2,1.8,3.4,3.9
155,PMMA CR,Chemical Resistance of High Performance and Other Polymers,16.0,5.0,12.0,13.0
156,PE? CR Q UESTIONABLE VALUES,Chemical Resistance of High Performance and Other Polymers,16.8,5.4,2.4,4.7
157,PPO CR,Chemical Resistance of High Performance and Other Polymers,17.9,3.1,8.5,8.6
158,PUR CR,Chemical Resistance of High Performance and Other Polymers,18.1,9.3,4.5,9.7
159,ABS CR,Chemical Resistance of High Performance and Other Polymers,16.3,2.7,7.1,7.8
160,PSU CR,Chemical Resistance of High Performance and Other Polymers,16.0,6.0,6.6,9.0
161,VINYL SILANE,Chemical Resistance of High Performance and Other Polymers,16.4,3.7,4.5,10.0
162,CELLOPHAN SW,Correlations for Some Barrier-Type Polymers,16.1,18.5,14.5,9.3
163,EVOH SOL,Correlations for Some Barrier-Type Polymers,20.5,10.5,12.3,7.3
164,SARANEX 4HR,Correlations for Some Barrier-Type Polymers,17.7,18.3,0.7,18.4
165,4H 35°C,Correlations for Some Barrier-Type Polymers,19.4,13.4,18.0,8.6
166,4H 35°C no plasticizer included,Correlations for Some Barrier-Type Polymers,20.5,11.3,10.3,6.7
167,POLYVINYLALCOHOL,Correlations for Some Barrier-Type Polymers,15.0,17.2,17.8,10.2
168,ACETAL CELANESE,Chemical Resistance Data - Modern Plastics Encylopedia,21.1,9.3,5.9,11.4
169,ACETALHOMO-DUO,Chemical Resistance Data - Modern Plastics Encylopedia,19.0,5.0,8.0,5.0
170,CELLULOSE ACETATE,Chemical Resistance Data - Modern Plastics Encylopedia,16.9,16.3,3.7,13.7
171,CELL. ACET. BUTYRATE,Chemical Resistance Data - Modern Plastics Encylopedia,17.2,13.8,2.8,12.6
172,CELL. ACET. PROPIONATE,Chemical Resistance Data - Modern Plastics Encylopedia,9.8,13.6,11.4,15.2
173,PCTFE,Chemical Resistance Data - Modern Plastics Encylopedia,14.1,2.7,5.5,6.6
174,FEP,Chemical Resistance Data - Modern Plastics Encylopedia,19.0,4.0,3.0,4.0
175,FURAN,Chemical Resistance Data - Modern Plastics Encylopedia,19.0,6.0,8.0,5.0
176,FURF ALC,Chemical Resistance Data - Modern Plastics Encylopedia,19.9,3.9,5.1,3.8
177,PFA(?),Chemical Resistance Data - Modern Plastics Encylopedia,16.7,7.7,-0.5,8.1
178,PHENOLIC,Chemical Resistance Data - Modern Plastics Encylopedia,21.6,5.2,18.8,15.4
179,PETG,Chemical Resistance Data - Modern Plastics Encylopedia,18.0,3.0,4.0,6.0
180,HDPE,Chemical Resistance Data - Modern Plastics Encylopedia,18.0,0.0,2.0,2.0
181,PP,Chemical Resistance Data - Modern Plastics Encylopedia,18.0,0.0,1.0,6.0
182,PECTFE SOL AT HIGH TEMP.,Poly(Ethylene/Chlorotrifluoroethylene),19.5,7.3,1.7,5.1
183,PAN,Solubility of Polyacrylonitirile,21.7,14.1,9.1,10.9
184,PEI 1200PSI,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC),17.2,6.4,5.2,3.6
185,PEI 2400PSI,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC),17.4,4.6,9.0,7.2
186,PEI 600PSI,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC),17.3,5.3,4.7,3.3
187,ESTER GUM,Based on Solvent Range Solubility Data - Not too Reliable,16.9,4.5,6.5,9.2
188,ALKYD 45 SOYA,Based on Solvent Range Solubility Data - Not too Reliable,17.5,2.3,7.7,10.0
189,SILICONE DC-1107?,Based on Solvent Range Solubility Data - Not too Reliable,19.6,3.4,10.8,9.8
190,PVETHYLETHER?,Based on Solvent Range Solubility Data - Not too Reliable,15.1,3.1,11.9,12.9
191,PBUTYLACRYLATE,Based on Solvent Range Solubility Data - Not too Reliable,16.2,9.0,3.0,10.1
192,PBMA?,Based on Solvent Range Solubility Data - Not too Reliable,15.9,5.5,5.9,8.5
193,SILICONE DC 23?,Based on Solvent Range Solubility Data - Not too Reliable,16.4,0.0,7.8,5.5
194,PE,Based on Solvent Range Solubility Data - Not too Reliable,16.0,0.8,2.8,3.2
195,GILSONITE,Based on Solvent Range Solubility Data - Not too Reliable,17.1,2.1,3.9,4.9
196,PVINYLBUTYLETHER,Based on Solvent Range Solubility Data - Not too Reliable,17.4,3.4,7.8,8.4
197,NAT RUBBER,Based on Solvent Range Solubility Data - Not too Reliable,16.0,4.0,6.0,1.3
198,HYP 20 CHLOROSULFONATED PE,Based on Solvent Range Solubility Data - Not too Reliable,17.4,3.2,4.0,4.8
199,ETHCEL N22?,Based on Solvent Range Solubility Data - Not too Reliable,22.7,0.5,16.5,20.1
200,CHLORINATED RUBBER,Based on Solvent Range Solubility Data - Not too Reliable,17.9,6.3,5.1,7.6
201,DAMMAR GUM,Based on Solvent Range Solubility Data - Not too Reliable,18.4,4.2,7.8,8.3
202,VERSAMID 100?,Based on Solvent Range Solubility Data - Not too Reliable,18.8,3.0,9.2,7.8
203,PS,Based on Solvent Range Solubility Data - Not too Reliable,18.5,4.5,2.9,5.3
204,PVAC,Based on Solvent Range Solubility Data - Not too Reliable,17.6,2.2,4.0,4.1
205,PVC,Based on Solvent Range Solubility Data - Not too Reliable,17.6,7.8,3.4,8.2
206,PHENOLICS,Based on Solvent Range Solubility Data - Not too Reliable,19.8,7.2,10.8,12.8
207,BUNA N B UTADIENE/ACRYLONITRILE,Based on Solvent Range Solubility Data - Not too Reliable,17.8,3.2,3.4,3.7
208,PMMA,Based on Solvent Range Solubility Data - Not too Reliable,18.1,10.5,5.1,9.5
