name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
Cellit BP-300,,16.6,12.0,6.7,10.2,Cellulosic Polymer,0.850,1,hsp_polymers_2
Cellidora A,,18.2,12.4,10.8,7.4,Cellulosic Polymer,0.850,1,hsp_polymers_2
Ethocel HE10,,17.9,4.3,3.9,5.9,Cellulosic Polymer,0.850,1,hsp_polymers_2
Ethocel STD 20,,20.1,6.9,5.9,9.9,Cellulosic Polymer,0.850,1,hsp_polymers_2
Araldite DY O25,,14.0,7.4,9.4,13.7,Epoxy Resin,0.850,1,hsp_polymers_2
EPIKOTE 828,,23.1,14.6,5.0,20.5,Epoxy Resin,0.850,1,hsp_polymers_2
EPIKOTE 1001,,20.0,10.32,10.11,10.02,Epoxy Resin,0.850,1,hsp_polymers_2
EPIKOTE 1004,,17.4,10.5,9.0,7.9,Epoxy Resin,0.850,1,hsp_polymers_2
EPIKOTE 1007,,21.0,11.1,13.4,11.7,Epoxy Resin,0.850,1,hsp_polymers_2
EPIKOTE 1009,,19.3,9.37,10.95,8.26,Epoxy Resin,0.850,1,hsp_polymers_2
PKHH,,23.4,7.2,14.8,14.9,Epoxy Resin,0.850,1,hsp_polymers_2
Versamid 100,,23.8,5.3,16.2,16.1,Polyamide,0.850,1,hsp_polymers_2
Versamid 115,,20.3,6.6,14.1,9.6,Polyamide,0.850,1,hsp_polymers_2
Versamid 125,,24.9,3.1,18.7,20.3,Polyamide,0.850,1,hsp_polymers_2
Versamid 140,,26.9,2.4,18.5,24.0,Polyamide,0.850,1,hsp_polymers_2
Desmophen 651,,17.7,10.6,11.6,9.5,Polyurethane,0.850,1,hsp_polymers_2
Desmophen 800,,19.1,12.2,9.9,8.0,Polyurethane,0.850,1,hsp_polymers_2
Desmophen 850,,21.54,14.94,12.28,16.78,Polyurethane,0.850,1,hsp_polymers_2
Desmophen 1100,,16.0,13.1,9.2,11.4,Polyurethane,0.850,1,hsp_polymers_2
Desmophen 1150,,20.6,7.8,11.6,13.1,Polyurethane,0.850,1,hsp_polymers_2
Desmophen 1200,,19.4,7.4,6.0,9.8,Polyurethane,0.850,1,hsp_polymers_2
Desmophen 1700,,17.9,9.6,5.9,8.2,Polyurethane,0.850,1,hsp_polymers_2
Desmolac 4200,,18.7,9.6,9.9,8.2,Polyurethane,0.850,1,hsp_polymers_2
Macrynal SM 510N,,19.9,8.1,6.0,9.8,Acrylic,0.850,1,hsp_polymers_2
SUPER BECKACITE 1001,,23.26,6.55,8.35,19.85,Polyester & Alkyd,0.850,1,hsp_polymers_2
Phenodur 373U,,19.74,11.62,14.59,12.69,Amino Resin,0.850,1,hsp_polymers_2
PLIOLYTE S-100,,16.47,0.37,2.84,8.59,Elastomer,0.850,1,hsp_polymers_2
Piccopale 110,,17.55,1.19,3.6,6.55,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
Piccorone 450L,,19.42,5.48,5.77,9.62,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
POLYSAR 5630,,17.55,3.35,2.7,6.55,Elastomer,0.850,1,hsp_polymers_2
Hycar 1052,,18.62,8.78,4.17,9.627248,Elastomer,0.850,1,hsp_polymers_2
BUNA HULS B10,,17.53,2.25,3.42,6.55,Elastomer,0.850,1,hsp_polymers_2
LUTONAL IC/1203,,14.2,2.5,4.6,12.4,Vinyl Polymer,0.850,1,hsp_polymers_2
LUTANAL I60,,16.9,2.5,4.0,7.2,Vinyl Polymer,0.850,1,hsp_polymers_2
POLYVINYLBUTYL ETHER,,17.4,4.3,8.4,7.4,Vinyl Polymer,0.850,1,hsp_polymers_2
LIGNIN,9005-53-2,20.17,14.61,15.04,11.66,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
MODAFLOW,,16.1,3.7,7.9,8.9,Acrylic,0.850,1,hsp_polymers_2
VIPLA KR,,18.4,6.6,8.0,3.0,Vinyl Polymer,0.850,1,hsp_polymers_2
CERECLOR 70,56509-64-9,20.0,8.3,6.8,9.8,Elastomer,0.850,1,hsp_polymers_2
CHLOROPAR 40,,17.0,7.6,7.9,11.9,Elastomer,0.850,1,hsp_polymers_2
PERGUT S 5,,17.4,9.5,3.8,10.0,Elastomer,0.850,1,hsp_polymers_2
ALLOPREN R10,,17.4,4.3,3.9,6.1,Elastomer,0.850,1,hsp_polymers_2
PARLON P 10,,20.26,6.32,5.4,10.64,Elastomer,0.850,1,hsp_polymers_2
