name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,Cellit BP-300,Cellit BP-300,,,16.6,12.0,6.7,10.2,Cellulosic Polymer,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Cellidora A,Cellidora A,,,18.2,12.4,10.8,7.4,Cellulosic Polymer,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Ethocel HE10,Ethocel HE10,,,17.9,4.3,3.9,5.9,Cellulosic Polymer,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Ethocel STD 20,Ethocel STD 20,,,20.1,6.9,5.9,9.9,Cellulosic Polymer,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Araldite DY O25,Araldite DY O25,EP,,14.0,7.4,9.4,13.7,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 828,EPIKOTE 828,EP,,23.1,14.6,5.0,20.5,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1001,EPIKOTE 1001,EP,,20.0,10.32,10.11,10.02,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1004,EPIKOTE 1004,EP,,17.4,10.5,9.0,7.9,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1007,EPIKOTE 1007,EP,,21.0,11.1,13.4,11.7,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1009,EPIKOTE 1009,EP,,19.3,9.37,10.95,8.26,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
Phenoxy resin,phenoxy resin,phenoxy resin; PKHH,PKHH,,23.4,7.2,14.8,14.9,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|'
,Versamid 100,Versamid 100,,,23.8,5.3,16.2,16.1,Polyamide,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Versamid 115,Versamid 115,,,20.3,6.6,14.1,9.6,Polyamide,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Versamid 125,Versamid 125,,,24.9,3.1,18.7,20.3,Polyamide,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Versamid 140,Versamid 140,,,26.9,2.4,18.5,24.0,Polyamide,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 651,Desmophen 651,PU,,17.7,10.6,11.6,9.5,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 800,Desmophen 800,PU,,19.1,12.2,9.9,8.0,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 850,Desmophen 850,PU,,21.54,14.94,12.28,16.78,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 1100,Desmophen 1100,PU,,16.0,13.1,9.2,11.4,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 1150,Desmophen 1150,PU,,20.6,7.8,11.6,13.1,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 1200,Desmophen 1200,PU,,19.4,7.4,6.0,9.8,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmophen 1700,Desmophen 1700,PU,,17.9,9.6,5.9,8.2,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Desmolac 4200,Desmolac 4200,PU,,18.7,9.6,9.9,8.2,Polyurethane,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Macrynal SM 510N,Macrynal SM 510N,,,19.9,8.1,6.0,9.8,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,SUPER BECKACITE 1001,SUPER BECKACITE 1001; polyethylene; PE,,,23.26,6.55,8.35,19.85,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,Phenodur 373U,Phenodur 373U,,,19.74,11.62,14.59,12.69,Amino Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,PLIOLYTE S-100,PLIOLYTE S-100,,,16.47,0.37,2.84,8.59,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,Piccopale 110,Piccopale 110,,,17.55,1.19,3.6,6.55,Natural & Petroleum Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Piccorone 450L,Piccorone 450L,,,19.42,5.48,5.77,9.62,Natural & Petroleum Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
