name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,subclass,product_url
Cellit BP-300,CELLIT BP-300,,16.6,12.0,6.7,10.2,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Cellulose acetopropionate,cellulose acetopropionate,cellulose ester; CAP,,CAP,
Cellidora A,CELLIDORA A,,18.2,12.4,10.8,7.4,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Cellulose acetate butyrate,cellulose acetate butyrate,CAB; cellulose ester,,CAB,
Ethocel HE10,ETHOCEL HE10,,17.9,4.3,3.9,5.9,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Ethyl cellulose,ethyl cellulose,EC; ethylcellulose,,Ethyl cellulose,
Ethocel STD 20,ETHOCEL STD 20,,20.1,6.9,5.9,9.9,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Ethyl cellulose,ethyl cellulose,EC; ethylcellulose,,Ethyl cellulose,
Araldite DY O25,ARALDITE DY O25,,14.0,7.4,9.4,13.7,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Diglycidyl ether of polypropylene glycol,flexible epoxy diluent,reactive epoxy diluent,EP,Flexible epoxy,
EPIKOTE 828,EPIKOTE 828,,23.1,14.6,5.0,20.5,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,DGEBA epoxy,
EPIKOTE 1001,EPIKOTE 1001,,20.0,10.32,10.11,10.02,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,BPA epoxy solid,
EPIKOTE 1004,EPIKOTE 1004,,17.4,10.5,9.0,7.9,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,BPA epoxy solid,
EPIKOTE 1007,EPIKOTE 1007,,21.0,11.1,13.4,11.7,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,"Bisphenol A diglycidyl ether, MW ~2900",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,BPA epoxy solid,
EPIKOTE 1009,EPIKOTE 1009,,19.3,9.37,10.95,8.26,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,BPA epoxy solid,
PKHH,PKHH,,23.4,7.2,14.8,14.9,Epoxy Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(hydroxy ether of bisphenol A),phenoxy resin,phenoxy polymer; PKHH,PKHH,Phenoxy resin,https://pubchem.ncbi.nlm.nih.gov/compound/62790
Versamid 100,VERSAMID 100,,23.8,5.3,16.2,16.1,Polyamide,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,Dimer acid polyamide,
Versamid 115,VERSAMID 115,,20.3,6.6,14.1,9.6,Polyamide,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,Dimer acid polyamide,
