name,name_input,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molar_volume,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_common_all,name_acronyms,ghs_hazard,confidence,source_count,source,source_url,processing_notes
"1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane",630-20-6,ClCC(Cl)(Cl)Cl,C2H2Cl4,18.0,4.4,4.2,105.0,167.8,130.6,,halogenated,Organochlorides,,"1,1,1,2-tetrachloroethane","1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane",,H302; H310; H318; H319; H331; H332; H351; H412; H320; H335; H341; H373; H402,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/12418,[REF] matched hsp_solvents_2
"1,1,1-Trichloroethane","1,1,1-Trichloroethane",71-55-6,CC(Cl)(Cl)Cl,C2H3Cl3,16.8,4.3,2.0,99.3,133.4,,,halogenated,Organochlorides,,"1,1,1-trichloroethane","1,1,1-Trichloroethane","1,1,1-Trichloroethane",,H332; H420; H225; H315; H319; H290; H320; H336; H350; H360; H370; H372; H400; H410; H335; H351; H361; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6278,[REF] matched hsp_solvents_2
"1,1,1-Trifluoroethan","1,1,1-Trifluoroethan",,,,14.6,10.7,0.0,64.6,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,1,1-Trifluoroethan"
"1,1,2,2-Tetrabromoethane","1,1,2,2-Tetrabromoethane",79-27-6,BrC(Br)C(Br)Br,C2H2Br4,22.6,5.1,8.2,116.8,345.65,243.6,,halogenated,Organobromides,,"1,1,2,2-tetrabromoethane","1,1,2,2-Tetrabromoethane","1,1,2,2-Tetrabromoethane",,H319; H330; H412; H302; H315; H331; H335; H370; H372; H373; H320; H371,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6588,[REF] matched hsp_solvents_2
"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",79-34-5,ClC(Cl)C(Cl)Cl,C2H2Cl4,18.8,5.1,5.3,105.2,167.8,,,halogenated,Organochlorides,,"1,1,2,2-tetrachloroethane","1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",,H310; H330; H411; H302; H350; H315; H319; H331; H335; H336; H341; H351; H370; H372; H227; H301; H401,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6591,[REF] matched hsp_solvents_2
"1,1,2,2-Tetrachloropropane","1,1,2,2-Tetrachloropropane",13116-60-4,CC(Cl)(Cl)C(Cl)Cl,C3H4Cl4,17.9,6.7,3.3,123.7,181.9,153.0,,halogenated,Organochlorides,,"1,1,2,2-tetrachloropropane","1,1,2,2-Tetrachloropropane","1,1,2,2-Tetrachloropropane",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/83154,[REF] matched hsp_solvents_2
"1,1,2-Trichloro Propene","1,1,2-Trichloro Propene",21400-25-9,CC(Cl)=C(Cl)Cl,C3H3Cl3,17.7,15.7,3.4,104.8,145.41,,,halogenated,Vinyl halides,Vinyl chlorides,"1,1,2-trichloroprop-1-ene","1,1,2-Trichloro Propene","1,1,2-Trichloro Propene",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/30616,[REF] matched hsp_solvents_2
"1,1,2-Trichloroethane","1,1,2-Trichloroethane",79-00-5,ClCC(Cl)Cl,C2H3Cl3,18.2,5.3,6.8,92.9,133.4,,,halogenated,Organochlorides,,"1,1,2-trichloroethane","1,1,2-Trichloroethane","1,1,2-Trichloroethane",,H302; H312; H332; H351; H331; H412; H315; H320; H335; H336; H370; H372; H402; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6574,[REF] matched hsp_solvents_2
"1,1,2-Trichlorotrifluoroethane (Freon 113)","1,1,2-Trichlorotrifluoroethane (Freon 113)",,,,14.7,1.6,0.0,119.2,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,1,2-Trichlorotrifluoroethane (Freon 113)"
"1,1,3,3-Tetramethoxypropane","1,1,3,3-Tetramethoxypropane",102-52-3,COC(CC(OC)OC)OC,C7H16O4,15.0,7.1,6.8,164.7,164.2,183.1,,ether,Organooxygen compounds,Ethers,"1,1,3,3-tetramethoxypropane","1,1,3,3-Tetramethoxypropane","1,1,3,3-Tetramethoxypropane",,H226; H315,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/66019,[REF] matched hsp_solvents_2
