name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
Cellit BP-300,CELLIT BP-300,,16.6,12.0,6.7,10.2,Cellulosic Polymer,CAP,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Cellulose acetopropionate,cellulose acetopropionate,cellulose ester; CAP,,,,
Cellidora A,CELLIDORA A,,18.2,12.4,10.8,7.4,Cellulosic Polymer,CAB,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Cellulose acetate butyrate,cellulose acetate butyrate,CAB; cellulose ester,,,,
Ethocel HE10,ETHOCEL HE10,,17.9,4.3,3.9,5.9,Cellulosic Polymer,Ethyl cellulose,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Ethyl cellulose,ethyl cellulose,EC; ethylcellulose,,,,
Ethocel STD 20,ETHOCEL STD 20,,20.1,6.9,5.9,9.9,Cellulosic Polymer,Ethyl cellulose,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Ethyl cellulose,ethyl cellulose,EC; ethylcellulose,,,,
Araldite DY-025,ARALDITE DY-025,,14.0,7.4,9.4,13.7,Epoxy Resin,Flexible epoxy,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Diglycidyl ether of polypropylene glycol,flexible epoxy diluent,reactive epoxy diluent,EP,,,
EPIKOTE 828,EPIKOTE 828,,23.1,14.6,5.0,20.5,Epoxy Resin,DGEBA epoxy,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,,,
EPIKOTE 1001,EPIKOTE 1001,,20.0,10.32,10.11,10.02,Epoxy Resin,BPA epoxy solid,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,
EPIKOTE 1004,EPIKOTE 1004,,17.4,10.5,9.0,7.9,Epoxy Resin,BPA epoxy solid,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,,,
EPIKOTE 1007,EPIKOTE 1007,,21.0,11.1,13.4,11.7,Epoxy Resin,BPA epoxy solid,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~2900",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,
EPIKOTE 1009,EPIKOTE 1009,,19.3,9.37,10.95,8.26,Epoxy Resin,BPA epoxy solid,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,
PKHH,PKHH,,23.4,7.2,14.8,14.9,Epoxy Resin,Phenoxy resin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Poly(hydroxy ether of bisphenol A),phenoxy resin,phenoxy polymer; PKHH,PKHH,,,
Versamid 100,VERSAMID 100,,23.8,5.3,16.2,16.1,Polyamide,Dimer acid polyamide,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,
Versamid 115,VERSAMID 115,,20.3,6.6,14.1,9.6,Polyamide,Dimer acid polyamide,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,
Versamid 125,VERSAMID 125,,24.9,3.1,18.7,20.3,Polyamide,Dimer acid polyamide,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,
Versamid 140,VERSAMID 140,,26.9,2.4,18.5,24.0,Polyamide,Dimer acid polyamide,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,
Desmophen 651,DESMOPHEN 651,,17.7,10.6,11.6,9.5,Polyurethane,Polyester polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,,,
Desmophen 800,DESMOPHEN 800,,19.1,12.2,9.9,8.0,Polyurethane,Polyester polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,,,
Desmophen 850,DESMOPHEN 850,,21.54,14.94,12.28,16.78,Polyurethane,Polyether polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyether polyol,polyurethane polyol,PU polyol; polyether polyol,PU,,,
