name_input,name_clean,name_iupac,name_common,name_common_all,name_acronyms,cas,product_url,tds_url,sds_url,dD,dP,dH,radius,class,subclass,data_type,data_reliability,processing_notes
CELLIT BP-300,Cellit BP-300,Cellulose acetopropionate,cellulose acetopropionate,cellulose ester; CAP,,,,,,16.6,12.0,6.7,10.2,Cellulosic Polymer,CAP,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
CELLIDORA A,Cellidora A,Cellulose acetate butyrate,cellulose acetate butyrate,CAB; cellulose ester,,,,,,18.2,12.4,10.8,7.4,Cellulosic Polymer,CAB,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ETHOCEL HE10,Ethocel HE10,Ethyl cellulose,ethyl cellulose,EC; ethylcellulose,,,,,,17.9,4.3,3.9,5.9,Cellulosic Polymer,Ethyl cellulose,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ETHOCEL STD 20,Ethocel STD 20,Ethyl cellulose,ethyl cellulose,EC; ethylcellulose,,,,,,20.1,6.9,5.9,9.9,Cellulosic Polymer,Ethyl cellulose,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ARALDITE DY-025,Araldite DY-025,Diglycidyl ether of polypropylene glycol,flexible epoxy diluent,reactive epoxy diluent,EP,,,,,14.0,7.4,9.4,13.7,Epoxy Resin,Flexible epoxy,solubility,high,[OCR] name: 'ARALDITE DY O25' → 'ARALDITE DY-025'; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 828,EPIKOTE 828,Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,,,,,23.1,14.6,5.0,20.5,Epoxy Resin,DGEBA epoxy,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1001,EPIKOTE 1001,"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,,,20.0,10.32,10.11,10.02,Epoxy Resin,BPA epoxy solid,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1004,EPIKOTE 1004,"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,,,,,17.4,10.5,9.0,7.9,Epoxy Resin,BPA epoxy solid,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1007,EPIKOTE 1007,"Bisphenol A diglycidyl ether, MW ~2900",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,,,21.0,11.1,13.4,11.7,Epoxy Resin,BPA epoxy solid,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1009,EPIKOTE 1009,"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,,,19.3,9.37,10.95,8.26,Epoxy Resin,BPA epoxy solid,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
PKHH,PKHH,Poly(hydroxy ether of bisphenol A),phenoxy resin,phenoxy polymer; PKHH,PKHH,,,,,23.4,7.2,14.8,14.9,Epoxy Resin,Phenoxy resin,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|
VERSAMID 100,Versamid 100,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,,,23.8,5.3,16.2,16.1,Polyamide,Dimer acid polyamide,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
VERSAMID 115,Versamid 115,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,,,20.3,6.6,14.1,9.6,Polyamide,Dimer acid polyamide,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
VERSAMID 125,Versamid 125,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,,,24.9,3.1,18.7,20.3,Polyamide,Dimer acid polyamide,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
VERSAMID 140,Versamid 140,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,,,26.9,2.4,18.5,24.0,Polyamide,Dimer acid polyamide,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 651,Desmophen 651,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,,,,,17.7,10.6,11.6,9.5,Polyurethane,Polyester polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 800,Desmophen 800,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,,,,,19.1,12.2,9.9,8.0,Polyurethane,Polyester polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 850,Desmophen 850,Polyether polyol,polyurethane polyol,PU polyol; polyether polyol,PU,,,,,21.54,14.94,12.28,16.78,Polyurethane,Polyether polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 1100,Desmophen 1100,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,,,,,16.0,13.1,9.2,11.4,Polyurethane,Polyester polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 1150,Desmophen 1150,Polycarbonate polyol,polycarbonate diol,polycarbonate polyol; PU polyol,PU,,,,,20.6,7.8,11.6,13.1,Polyurethane,Polycarbonate polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 1200,Desmophen 1200,Polyester polyol,polyurethane polyol,PU polyol,PU,,,,,19.4,7.4,6.0,9.8,Polyurethane,Polyester polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOPHEN 1700,Desmophen 1700,"Polyester polyol, low viscosity",polyurethane polyol,PU polyol; polyester polyol,PU,,,,,17.9,9.6,5.9,8.2,Polyurethane,Polyester polyol,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMOLAC 4200,Desmolac 4200,Polyurethane lacquer resin,polyurethane lacquer resin,PU lacquer; two-component PU,PU,,,,,18.7,9.6,9.9,8.2,Polyurethane,PU lacquer,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
MACRYNAL SM 510N,Macrynal SM 510N,Hydroxy-functional acrylic resin,hydroxy acrylic resin,hydroxy acrylic; thermoset acrylic,,,,,,19.9,8.1,6.0,9.8,Acrylic,Hydroxy acrylic,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
SUPER BECKACITE 1001,SUPER BECKACITE 1001,Alkyd resin,alkyd resin,oil-modified alkyd,,,,,,23.26,6.55,8.35,19.85,Polyester & Alkyd,Alkyd,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
PHENODUR 373U,Phenodur 373U,Phenol-modified melamine resin,amino resin,phenol-amino resin; Phenodur,,,,,,19.74,11.62,14.59,12.69,Amino Resin,Phenol-amino resin,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
PLIOLYTE S-100,PLIOLYTE S-100,Styrene-butadiene copolymer resin,SB resin,styrene-butadiene resin,,,,,,16.47,0.37,2.84,8.59,Elastomer,SB resin,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
PICCOPALE 110,Piccopale 110,Aliphatic C5 hydrocarbon resin,aliphatic hydrocarbon resin,C5 resin; aliphatic resin,,,,,,17.55,1.19,3.6,6.55,Natural & Petroleum Resin,C5 HC resin,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
PICCORONE 450L,Piccorone 450L,Cyclopentadiene/aromatic hydrocarbon resin,C5/C9 resin,cyclopentadiene resin,,,,,,19.42,5.48,5.77,9.62,Natural & Petroleum Resin,C5/C9 resin,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
