name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_acronyms,ghs_hazard,confidence,source,source_url
"1,1,1,2-Tetrachloroethane",630-20-6,ClCC(Cl)(Cl)Cl,C2H2Cl4,18.0,4.4,4.2,167.8,130.6,,halogenated,Organochlorides,,"1,1,1,2-tetrachloroethane","1,1,1,2-Tetrachloroethane",,H302; H310; H318; H319; H331; H332; H351; H412; H320; H335; H341; H373; H402,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12418
"1,1,1-Trichloroethane",71-55-6,CC(Cl)(Cl)Cl,C2H3Cl3,16.8,4.3,2.0,133.4,,,halogenated,Organochlorides,,"1,1,1-trichloroethane","1,1,1-Trichloroethane",,H332; H420; H225; H315; H319; H290; H320; H336; H350; H360; H370; H372; H400; H410; H335; H351; H361; H373,0.975,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6278
"1,1,1-Trifluoroethane",420-46-2,CC(F)(F)F,C2H3F3,14.6,10.0,0.0,84.04,-46.7,,halogenated,Organofluorides,,"1,1,1-trifluoroethane","1,1,1-Trifluoroethane",,H220; H224; H280; H420,0.7,hsp_solvents_2,
"1,1,2,2-Tetrabromoethane",79-27-6,BrC(Br)C(Br)Br,C2H2Br4,21.0,7.0,8.2,345.65,243.6,,halogenated,Organobromides,,"1,1,2,2-tetrabromoethane","1,1,2,2-Tetrabromoethane",,H319; H330; H412; H302; H315; H331; H335; H370; H372; H373; H320; H371,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6588
"1,1,2,2-Tetrachloroethane",79-34-5,ClC(Cl)C(Cl)Cl,C2H2Cl4,18.8,5.1,5.3,167.8,,,halogenated,Organochlorides,,"1,1,2,2-tetrachloroethane","1,1,2,2-Tetrachloroethane",,H310; H330; H411; H302; H350; H315; H319; H331; H335; H336; H341; H351; H370; H372; H227; H301; H401,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6591
"1,1,2,2-Tetrachloropropane",13116-60-4,CC(Cl)(Cl)C(Cl)Cl,C3H4Cl4,17.9,6.7,3.3,181.9,153.0,,halogenated,Organochlorides,,"1,1,2,2-tetrachloropropane","1,1,2,2-Tetrachloropropane",,,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/83154
"1,1,2-Tribromo Ethylene",598-16-3,BrC=C(Br)Br,C2HBr3,18.3,9.4,8.0,264.74,164.1,,halogenated,Vinyl halides,Vinyl bromides,"1,1,2-tribromoethene","1,1,2-Tribromo Ethylene",,H302; H312; H315; H319; H332; H335,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11712
"1,1,2-Trichloro Propene",21400-25-9,CC(Cl)=C(Cl)Cl,C3H3Cl3,17.7,15.7,3.4,145.41,,,halogenated,Vinyl halides,Vinyl chlorides,"1,1,2-trichloroprop-1-ene","1,1,2-Trichloro Propene",,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/30616
"1,1,2-Trichloroethane",79-00-5,ClCC(Cl)Cl,C2H3Cl3,18.2,5.3,6.8,133.4,,,halogenated,Organochlorides,,"1,1,2-trichloroethane","1,1,2-Trichloroethane",,H302; H312; H332; H351; H331; H412; H315; H320; H335; H336; H370; H372; H402; H373,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6574
"1,1,2-Trichlorotrifluoroethane (Freon113)",76-13-1,FC(F)(Cl)C(F)(Cl)Cl,C2Cl3F3,14.7,1.6,0.0,187.37,47.8,,halogenated,Alkyl halides,Alkyl chlorides,"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-Trichlorotrifluoroethane (Freon113)",,H319; H411; H420; H320; H336; H370; H401; H412; H335; H372; H316,0.7,hsp_solvents_2,
"1,1,3,3-Tetramethoxypropane",102-52-3,COC(CC(OC)OC)OC,C7H16O4,15.0,7.1,6.8,164.2,183.1,,ether,Organooxygen compounds,Ethers,"1,1,3,3-tetramethoxypropane","1,1,3,3-Tetramethoxypropane",,H226; H315,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/66019
