name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
CELLIT BP-300,,16.60,12.00,6.70,10.20,,0.700,1,hspip_polymers
CELLIDORA A,,18.20,12.40,10.80,7.40,,0.700,1,hspip_polymers
ETHOCEL HE10,,17.90,4.30,3.90,5.90,,0.700,1,hspip_polymers
ETHOCEL STD 20,,20.10,6.90,5.90,9.90,,0.700,1,hspip_polymers
ARALDITE DY O25,,14.00,7.40,9.40,13.70,,0.700,1,hspip_polymers
EPIKOTE 828,,23.10,14.60,5.00,20.50,,0.700,1,hspip_polymers
EPIKOTE 1001,,20.00,10.32,10.11,10.02,,0.700,1,hspip_polymers
EPIKOTE 1004,,17.40,10.50,9.00,7.90,,0.700,1,hspip_polymers
EPIKOTE 1007,,21.00,11.10,13.40,11.70,,0.700,1,hspip_polymers
EPIKOTE 1009,,19.30,9.37,10.95,8.26,,0.700,1,hspip_polymers
PKHH,,23.40,7.20,14.80,14.90,,0.700,1,hspip_polymers
VERSAMID 100,,23.80,5.30,16.20,16.10,,0.700,1,hspip_polymers
VERSAMID 115,,20.30,6.60,14.10,9.60,,0.700,1,hspip_polymers
VERSAMID 125,,24.90,3.10,18.70,20.30,,0.700,1,hspip_polymers
VERSAMID 140,,26.90,2.40,18.50,24.00,,0.700,1,hspip_polymers
DESMOPHEN 651,,17.70,10.60,11.60,9.50,,0.700,1,hspip_polymers
DESMOPHEN 800,,19.10,12.20,9.90,8.00,,0.700,1,hspip_polymers
DESMOPHEN 850,,21.54,14.94,12.28,16.78,,0.700,1,hspip_polymers
DESMOPHEN 1100,,16.00,13.10,9.20,11.40,,0.700,1,hspip_polymers
DESMOPHEN 1150,,20.60,7.80,11.60,13.10,,0.700,1,hspip_polymers
DESMOPHEN 1200,,19.40,7.40,6.00,9.80,,0.700,1,hspip_polymers
DESMOPHEN 1700,,17.90,9.60,5.90,8.20,,0.700,1,hspip_polymers
DESMOLAC 4200,,18.70,9.60,9.90,8.20,,0.700,1,hspip_polymers
MACRYNAL SM 510N,,19.90,8.10,6.00,9.80,,0.700,1,hspip_polymers
SUPER BECKACITE 1001,,23.26,6.55,8.35,19.85,,0.700,1,hspip_polymers
