Name,cas_final,cas_source,pubchem_cid,confidence_score,confidence_label,score_cas,score_name_match,score_pubchem,score_smiles,score_crossref,score_properties,needs_manual_review,lookup_failed,processing_notes
"1,1,1,2-Tetrachloroethane",630-20-6,original,12418.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,1-Trichloroethane",71-55-6,original,6278.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,1-Trifluoroethane",420-46-2,original,9868.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2,2-Tetrabromoethane",79-27-6,original,6588.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2,2-Tetrachloroethane",79-34-5,original,6591.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2,2-Tetrachloropropane",13116-60-4,original,83154.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Tribromo Ethylene",598-16-3,original,11712.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Trichloro Propene",21400-25-9,original,30616.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Trichloroethane",79-00-5,original,6574.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Trichlorotrifluoroethane (Freon113)",76-13-1,original,6428.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1,3,3-Tetramethoxypropane",102-52-3,original,66019.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Diallyloxyethane",20682-69-3,original,225379.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dibromoethane",557-91-5,original,11201.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dibromoethylene",593-92-0,original,11652.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloro-1-Nitroethane",594-72-9,original,11674.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloroacetone",513-88-2,original,10567.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloroethane",75-34-3,original,6365.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloroethylene",75-35-4,original,6366.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloropropane",78-99-9,original,6573.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Dichloropropene",563-58-6,original,11245.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Diethoxy Butane",3658-95-5,original,77225.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Diethoxy Ethane",105-57-7,original,7765.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Difluoroethane",75-37-6,original,6368.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,1-Difluoroethylene",75-38-7,original,6369.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
