name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source,source_url
1%IN WATER +AMINES,,14.96,18.33,15.15,16.22,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
1%IN WATER -AMINES,,15.07,20.44,16.5,18.12,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
1/2-sec.-NITRO CELLULOSE H 23,,15.41,14.73,8.84,11.46,Nitrocellulose,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
2-COMP EPOXY CHEMICAL RES.,,18.4,9.4,10.1,7.0,Special Data,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
4H 35°C,,19.4,13.4,18.0,8.6,Correlations for Some Barrier-Type Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
4H 35°C no plasticizer included,,20.5,11.3,10.3,6.7,Correlations for Some Barrier-Type Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ABS,,17.6,8.6,6.4,5.6,Polystyrene,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
ABS CR,,16.3,2.7,7.1,7.8,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACETAL CELANESE,,21.1,9.3,5.9,11.4,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACETALHOMO-DUO,,19.0,5.0,8.0,5.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACID DEGMP,,15.3,13.3,14.9,15.6,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACRYLAMIDE MONOMER,,16.9,18.1,19.9,17.0,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACRYLOID B-44,,19.4,11.2,4.4,10.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACRYLOID B-66,,18.0,9.0,3.0,9.0,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACRYLOID B-72,,19.2,11.2,1.8,11.0,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACRYLOID B-82,,19.1,9.1,3.3,9.0,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ACRYLOID K120N,,17.6,10.0,3.8,9.5,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Acrylonitrile butadiene styrene (ABS),9003-56-9,17.0,5.7,6.8,9.4,Polystyrene,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
ALFTALAT AC 366,,18.6,10.0,5.0,10.4,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALFTALAT AM 756,,23.0,2.2,4.2,16.9,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALFTALAT AN 896,,22.9,15.2,7.6,18.1,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALFTALAT AN 950,,22.6,13.8,8.1,17.1,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALFTALAT AT 316,,20.5,9.3,9.1,12.4,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALFTALAT AT 576,,19.2,5.3,6.3,11.9,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALKYD 45 SOYA,,17.5,2.3,7.7,10.0,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALKYDAL F 261 HS,,23.6,1.0,7.6,19.0,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALKYDAL F 41,,20.6,4.6,5.5,12.6,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALLOPREN R10,,17.4,4.3,3.9,6.1,Chlorinated Rubber,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALLOPRENE R10 (10%),,19.5,9.2,6.9,7.5,Chlorinated Rubber,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ALPEX,,19.9,0.0,0.0,9.4,Cyclized Rubber,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
AMOCO 18-290,,19.3,3.7,7.9,7.8,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ARALDITE DY O25,,14.0,7.4,9.4,13.7,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BAKELITE SULFONE P-47,,20.0,3.0,6.0,3.0,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BAREX 210 CR,,20.1,9.1,12.7,10.9,Barex,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BAREX 210 CR-STYRENE,,17.7,8.9,10.9,6.4,Barex,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BAYSILON UD 125,,19.4,9.9,10.1,6.9,Silicone Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BE 370,,20.7,6.1,12.7,14.8,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BECKOLIN 27 MODIF OIL,,11.4,0.0,3.0,18.1,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BEETLE 681,,22.2,-0.4,10.1,18.4,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BETHOXAZIN,,22.4,7.6,10.8,13.9,Miscellaneous,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Bitumen,,17.5,2.5,3.0,8.0,Natural,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
BLOOD SERUM,,23.2,22.73,30.6,20.48,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BMA/AN 80/20,,17.5,9.9,4.1,9.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BROMOBUTYL RUBBER L,,17.0,3.4,2.0,6.0,Bromobutyl Rubber Swelling,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BROMOBUTYL RUBBER S,,17.6,1.7,2.0,6.0,Bromobutyl Rubber Swelling,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUNA HULS B10,,17.53,2.25,3.42,6.55,Polybutadiene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUNA N B UTADIENE/ACRYLONITRILE,,17.8,3.2,3.4,3.7,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUTON 100 B UTAD-STY,,17.0,4.0,3.0,7.3,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUTON 300,,17.3,3.7,7.3,7.0,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUTVAR B 76,,18.6,4.36,13.03,10.64,Polyvinylbutyral,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUTYL 1 HR,,15.8,-2.1,4.0,8.2,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUTYL 20 MIN,,16.5,1.0,5.1,5.0,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
BUTYL 4 HR (2),,17.6,2.1,2.1,7.0,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CARB DEG PTH,,19.4,13.4,11.6,11.1,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CARBON-60,,19.7,2.9,2.7,3.9,Miscellaneous,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CARIFLEX IR 305,,16.57,1.41,-0.82,9.62,Polyisoprene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELL. ACET. BUTYRATE,,17.2,13.8,2.8,12.6,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELL. ACET. PROPIONATE,,9.8,13.6,11.4,15.2,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELLIDORA A,,18.2,12.4,10.8,7.4,Cellulose Acetate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELLIT BP-300,,16.6,12.0,6.7,10.2,Cellulose Acetobutyrate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELLOLYN 102,,21.73,0.94,8.53,15.75,Rosin Derivatives,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELLOPHAN SW,,16.1,18.5,14.5,9.3,Correlations for Some Barrier-Type Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Cellophane,9005-81-6,16.1,18.5,14.5,7.3,Cellulose,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Cellulose acetate,9004-35-7,18.6,12.7,11.0,7.6,Cellulose Acetate,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Cellulose acetate butyrate (CAB),9004-36-8,17.2,13.8,2.8,12.6,Cellulose,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
CELLULOSE NITRATE,,16.9,13.5,10.3,9.9,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CELLULOSE-PAPER STRENGTH,,25.4,18.6,24.8,21.7,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CERECLOR 70,,20.0,8.3,6.8,9.8,Chloroparaffin,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CH 5100 3 HR,,16.6,5.4,4.0,3.8,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CH 5200 3 HR,,16.6,6.0,4.8,3.7,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CHLORINATED RUBBER,,17.9,6.3,5.1,7.6,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CHLOROPAR 40,,17.0,7.6,7.9,11.9,Chloroparaffin,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CHLOROPHYLL,,20.2,15.6,18.2,11.1,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CHOLESTEROL,,20.4,2.8,9.4,12.6,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
COAL TAR PITCH SOL.,,18.7,7.5,8.9,5.8,Special Data,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CONOCO H-35 HYDROCARBON M,,11.4,0.0,3.0,18.1,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CRODA AC500 THERMOSET (10%),,17.8,6.4,4.7,10.7,Acrylics,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CRODA AC550 THERMOSET (10%),,16.3,10.6,7.4,12.9,Acrylics,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CRYPLEX 1473-5,,19.2,9.4,5.6,8.9,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CYMEL 300,,19.35,12.83,12.87,9.82,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CYMEL 325,,25.5,15.2,9.5,22.2,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
CZ RESIN SOL,,18.0,1.0,3.0,4.0,COC Solubility,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DAMMAR DEWAXED,,19.0,2.0,9.0,9.0,Polymers of Interest for Conservation of Paintings,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DAMMAR GUM,,18.4,4.2,7.8,8.3,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DAMMAR GUM DEWAXED,,19.0,2.0,9.0,9.0,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DEG ISOPH,,19.2,17.2,14.6,11.8,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DEG PHTH,,21.0,15.2,13.2,13.7,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DESMODUR L,,17.5,11.3,5.9,8.5,Isocyanate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
