name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"1,1,1,2-Tetrachloroethane",630-20-6,,,18.0,4.4,4.2,,,,105.0,halogenated,,0.55,2,hansen_a1,,
"1,1,1-Trichlorethane (methyl chloroform)",71-55-6,,C2H3Cl3,16.8,4.3,2.0,133.4,,,99.3,halogenated,,0.55,2,accudyne_solvents,,
"1,1,1-Trichloroethane",,,,16.8,4.3,2.0,,,,99.3,halogenated,,0.25,1,hansen_a1,,
"1,1,1-Trifluoroethan",,,,14.6,10.7,0.0,,,,64.6,halogenated,,0.25,1,hansen_a1,,
"1,1,1-Trifluoroethane",420-46-2,,,14.6,10.0,0.0,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,1,2,2-Tetrabromoethane",79-27-6,,,22.6,5.1,8.2,,,,116.8,halogenated,,0.55,2,hansen_a1,,
"1,1,2,2-Tetrachloroethane",79-34-5,,,18.8,5.1,5.3,,,,105.2,halogenated,,0.55,2,hansen_a1,,
"1,1,2,2-Tetrachloropropane",13116-60-4,,,17.9,6.7,3.3,,,,123.7,halogenated,,0.55,2,hansen_a1,,
"1,1,2-Tribromo Ethylene",598-16-3,,,18.3,9.4,8.0,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,1,2-Trichloro Propene",21400-25-9,,,17.7,15.7,3.4,,,,104.8,halogenated,,0.55,2,hansen_a1,,
"1,1,2-Trichloroethane",79-00-5,,,18.2,5.3,6.8,,,,92.9,halogenated,,0.55,2,hansen_a1,,
"1,1,2-Trichlorotrifluoroethane (Freon 113)",76-13-1,,,14.7,1.6,0.0,,,,119.2,halogenated,,0.55,2,hansen_a1,,
"1,1,3,3-Tetramethoxypropane",102-52-3,,,15.0,7.1,6.8,,,,164.7,hydrocarbon,,0.55,2,hansen_a1,,
"1,1-Diallyloxyethane",20682-69-3,,,15.4,5.1,4.8,,,,163.3,other,,0.55,2,hansen_a1,,
"1,1-Dibromo Ethylene",593-92-0,,,15.1,4.8,7.0,,,,85.3,halogenated,,0.55,2,hansen_a1,,
"1,1-Dibromoethane",557-91-5,,,18.5,8.4,8.8,,,,91.4,halogenated,,0.55,2,hansen_a1,,
"1,1-Dichloro-1-Nitroethane",594-72-9,,,16.8,12.1,4.3,,,,,nitro,,0.4,1,hspip_solvents,,
"1,1-Dichloroacetone",513-88-2,,,17.1,7.6,5.4,,,,97.3,ketone,,0.55,2,hansen_a1,,
"1,1-Dichloroethane",75-34-3,,,16.5,7.8,3.0,,,,84.2,halogenated,,0.55,2,hansen_a1,,
"1,1-Dichloroethylene",75-35-4,,,16.4,5.2,2.4,,,,79.9,halogenated,,0.55,2,hansen_a1,,
"1,1-Dichloropropane",78-99-9,,,16.1,7.8,3.5,,,,98.3,halogenated,,0.55,2,hansen_a1,,
"1,1-Dichloropropene",563-58-6,,,16.9,6.7,2.9,,,,93.5,halogenated,,0.55,2,hansen_a1,,
"1,1-Diethoxy Butane",3658-95-5,,,15.4,4.9,4.6,,,,177.6,hydrocarbon,,0.55,2,hansen_a1,,
"1,1-Diethoxy Ethane",105-57-7,,,15.0,3.4,4.0,,,,143.9,other,,0.55,2,hansen_a1,,
"1,1-Difluoroet ylene",,,,15.0,6.8,3.6,,,,58.2,halogenated,,0.25,1,hansen_a1,,
"1,1-Difluoroethan",,,,14.9,10.2,3.0,,,,69.5,halogenated,,0.25,1,hansen_a1,,
"1,1-Difluoroethane",75-37-6,,,14.9,9.3,2.9,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,1-Difluoroethylene",75-38-7,,,15.0,5.7,3.6,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,1-Dimethoxy Ethane",534-15-6,,,15.1,4.9,4.9,,,,106.7,other,,0.55,2,hansen_a1,,
"1,1-Dimethyl Hydrazine",57-14-7,,,15.3,5.9,11.0,,,,76.0,other,,0.55,2,hansen_a1,,
"1,2,3,4-Tetramethylbenzene",488-23-3,,,18.8,0.5,0.5,,,,148.3,aromatic,,0.55,2,hansen_a1,,
"1,2,3,5-Tetramethylbenzene",527-53-7,,,18.6,0.5,0.5,,,,150.8,aromatic,,0.55,2,hansen_a1,,
"1,2,3-Benzotriazole",95-14-7,,,18.7,15.6,12.4,,,,,other,,0.4,1,hspip_solvents,,
"1,2,3-Triazole",288-36-8,,,20.7,8.8,15.0,,,,58.2,other,,0.55,2,hansen_a1,,
"1,2,3-Trichloro Propene",96-19-5,,,17.8,15.7,3.4,,,,105.0,halogenated,,0.55,2,hansen_a1,,
"1,2,3-Trichloropropane",96-18-4,,,17.8,12.3,3.4,,,,106.1,halogenated,,0.55,2,hansen_a1,,
"1,2,4,5-Tetrachlorobenzene",95-94-3,,,21.2,10.7,3.4,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,2,4,5-Tetrachlorobenzene 1,2,4,5-T",,,,21.2,10.7,3.4,,,,116.2,halogenated,,0.25,1,hansen_a1,,
"1,2,4-Trichlorobenzene",120-82-1,,,20.2,6.0,3.2,,,,125.5,halogenated,,0.55,2,hansen_a1,,
"1,2-Butadiene",590-19-2,,,14.7,1.7,6.2,,,,82.3,other,,0.55,2,hansen_a1,,
"1,2-Chlorobromoethylene",,,,17.2,6.6,2.3,,,,78.7,halogenated,,0.4,2,hansen_a1,,
"1,2-Cyclohexanediol",931-17-9,,,17.4,9.8,18.3,,,,,hydrocarbon,,0.4,1,hspip_solvents,,
"1,2-Cyclohexanedione",765-87-7,,,18.6,10.3,8.0,,,,,hydrocarbon,,0.4,1,hspip_solvents,,
"1,2-Dibromoethylene",540-49-8,,,18.0,4.9,3.0,,,,82.7,halogenated,,0.55,2,hansen_a1,,
"1,2-Dichlorobenzene",95-50-1,,C6H4Cl2,19.2,6.3,3.3,147.0,,,112.8,halogenated,,0.55,2,accudyne_solvents,,
"1,2-Dichloroethane (ethylene dichloride)",107-06-2,,C2H4Cl2,19.0,7.4,4.1,98.96,,,79.4,halogenated,,0.55,2,accudyne_solvents,,
"1,2-Dichloroethylene (cis)",156-59-2,,,17.0,8.0,3.2,,,,75.5,halogenated,,0.55,2,hansen_a1,,
"1,2-Dichloropropane",78-87-5,,,17.3,7.1,2.9,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,2-Dichloropropene (cis)",6923-20-2,,,17.0,8.5,2.9,,,,93.9,halogenated,,0.55,2,hansen_a1,,
"1,2-Dichlorotetrafluoroethane",76-14-2,,,12.6,1.8,0.0,,,,117.6,halogenated,,0.55,2,hansen_a1,,
"1,2-Dichlorovinyl Ethyl Ether",42345-82-4,,,16.9,10.5,6.0,,,,117.8,ether,,0.55,2,hansen_a1,,
"1,2-Diethyl Benzene",135-01-3,,,17.7,0.1,1.0,,,,153.5,aromatic,,0.55,2,hansen_a1,,
"1,2-Dihydroxybenzene (Catechol)",120-80-9,,,20.0,11.3,21.8,,,,81.9,alcohol,,0.55,2,hansen_a1,,
"1,2-Dimethoxybenzene",91-16-7,,,19.2,4.4,9.4,,,,127.7,aromatic,,0.55,2,hansen_a1,,
"1,2-Dimethoxyethane (DME, ethylene glycol dimethyl ether)",110-71-4,,C4H10O2,15.4,6.3,6.0,90.12,,,103.9,alcohol,,0.7,3,accudyne_solvents,,
"1,2-Dinitrobenzene",528-29-0,,,20.6,22.7,5.4,,,,107.4,nitro,,0.55,2,hansen_a1,,
"1,2-Epoxy Butane",106-88-7,,,15.6,8.0,4.6,,,,87.9,hydrocarbon,,0.4,1,hansen_a1,,
"1,2-Epoxy-2-Propene",40079-14-9,,,16.5,8.6,6.7,,,,70.0,other,,0.55,2,hansen_a1,,
"1,2-Ethane Dithiol",540-63-6,,,17.9,7.2,8.7,,,,83.9,sulfur compound,,0.55,2,hansen_a1,,
"1,2-Methylenedioxybenzene",274-09-9,,,19.0,6.7,5.9,,,,114.8,aromatic,,0.55,2,hansen_a1,,
"1,2-Propadiene (Allene)",463-49-0,,,15.3,3.0,6.8,,,,60.1,other,,0.55,2,hansen_a1,,
"1,2-Propanediol (propylene glycol)",57-55-6,,C3H8O2,16.8,9.4,23.3,76.1,,,73.6,alcohol,,0.55,2,accudyne_solvents,,
"1,3,5-Trioxane",110-88-3,,,18.7,9.2,8.6,,,,77.0,other,,0.55,2,hansen_a1,,
"1,3-Benzenediol",108-46-3,,,18.0,8.4,21.0,,,,87.5,aromatic,,0.55,2,hansen_a1,,
"1,3-Bis(Trifluoromethyl)Benzene",402-31-3,,,17.0,6.8,0.0,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,3-Butadiene",106-99-0,,,14.8,2.8,5.6,,,,83.2,other,,0.55,2,hansen_a1,,
"1,3-Butadiene-1,2-Di-Chloro",3574-40-1,,,17.0,10.7,2.8,,,,102.5,halogenated,,0.55,2,hansen_a1,,
"1,3-Butadiene-1-Chloro",627-22-5,,,15.6,8.5,2.0,,,,92.2,halogenated,,0.55,2,hansen_a1,,
"1,3-Butanediol",107-88-0,,C4H10O2,16.6,10.0,21.5,90.12,,,89.9,hydrocarbon,,0.7,3,accudyne_solvents,,
"1,3-Dichloro-2-butene",926-57-8,,,16.9,7.8,2.7,,,,107.7,halogenated,,0.55,2,hansen_a1,,
"1,3-Dichloro-2-Fluorobenzene",2268-05-5,,,19.4,9.1,2.7,,,,117.1,halogenated,,0.55,2,hansen_a1,,
"1,3-Dichloro-2-Propanol",96-23-1,,,17.5,9.9,14.6,,,,95.5,alcohol,,0.55,2,hansen_a1,,
"1,3-Dichloropropane",142-28-9,,,18.6,8.2,3.0,,,,95.1,halogenated,,0.55,2,hansen_a1,,
"1,3-Dimethoxy Butane",10143-66-5,,,15.6,5.5,5.2,,,,140.0,hydrocarbon,,0.55,2,hansen_a1,,
"1,3-Dioxolane",646-06-0,,,18.1,6.6,9.3,,,,69.9,ether,,0.55,2,hansen_a1,,
"1,3-Pentadiene (Trans)",2004-70-8,,,14.7,2.5,5.0,,,,101.7,other,,0.55,2,hansen_a1,,
"1,3-Propane Sultone",1120-71-4,,,18.4,16.0,9.0,,,,87.7,hydrocarbon,,0.55,2,hansen_a1,,
