No,Name,D,P,H,V
1,Acetaldehyde* Acetaldehyde,14.7,12.5,7.9,56.6
2,Acetaldoxime Acetaldehyde oxime,16.3,4.0,20.2,61.2
3,Acetamide Acetamide,17.3,18.7,22.4,60.8
4,Acetanilide N-Phenyl-acetamide,20.6,13.3,12.4,110.9
12,Acetoxime Propan-2-one oxime,16.3,3.7,10.9,80.2
13,N-Acetyl Caprolactam 1-Acetyl-azepan-2-one,18.9,8.7,4.8,155.0
1116,Acetyl Salicylic Acid 2-Acetoxy-benzoic acid,19.0,6.6,9.3,133.5
17,"Acetylacetone Pentane-2,4-dione",16.1,11.2,6.2,103.0
18,Acetylbromide Acetyl bromide,16.7,10.6,5.2,74.0
19,Acetylchloride Acetyl chloride,16.2,11.2,5.8,71.4
20,Acetylene (Ethyne) Ethyne,14.4,4.2,11.9,42.1
21,Acetylfluorid Acetyl fluorid,14.7,14.0,5.7,62.0
860,Acridine Acridine,21.7,5.9,2.0,163.0
22,Acrolein Propenal,15.0,7.2,7.8,66.7
23,Acrylamide Acrylamide,15.8,12.1,12.8,63.4
26,Acrylylchloride Acryloyl chloride,16.2,11.6,5.4,81.3
1152,"Adipic Acid (1,6-Hexanedioic) Hexanedioic acid",17.1,9.0,14.6,107.5
27,Allyl Acetate Acetic acid allyl ester,15.7,4.5,8.0,108.5
28,Allyl Acetic Acid Pent-4-enoic acid,16.7,4.7,11.3,102.1
29,Allyl Acetonitrile (4-Pentenenitrile) Pent-4-enenitrile,16.3,11.2,5.0,98.5
30,Allyl Alcohol Prop-2-en-1-ol,16.2,10.8,16.8,68.4
31,Allyl Amine Allylamine,15.5,5.7,10.6,74.9
32,Allyl Bromide (3-Bromoprene) 3-Bromo-propene,16.5,7.3,4.9,86.5
33,Allyl Chloride 3-Chloro-propene,17.0,6.2,2.3,82.3
34,Allyl Cyanide But-3-enenitrile,16.0,14.3,5.6,80.5
35,Allyl Ethylether 3-Ethoxy-propene,15.0,4.8,5.1,112.6
36,Allyl Fluoride 3-Fluoro-propene,14.9,6.4,1.0,71.5
37,Allyl Formate Formic acid allyl ester,15.7,5.4,8.8,91.0
38,Allyl Iodide 3-Iodo-propene,17.4,6.4,3.3,90.8
39,Allyl Isocyanide 3-Isocyano-propene,16.1,13.0,5.4,84.5
967,Allyl Isopropyl Ether 3-Isopropoxy-propene,15.0,4.1,7.1,129.0
42,Allyl Mercaptan Prop-2-ene-1-thiol,16.4,6.2,7.9,80.2
43,Allyl Methylether 3-Methoxy-propene,15.0,4.3,5.9,93.7
1090,2-Amino Pyridine Pyridin-2-ylamine,20.4,8.1,12.2,94.1
1205,4-Amino Pyridine Pyridin-4-ylamine,20.4,16.1,12.9,87.1
44,Ammonia Ammonia,13.7,15.7,17.8,20.8
45,Amyl Acetate Acetic acid pentyl ester,15.8,3.3,6.1,148.0
949,Anisidine (2-Methoxyaniline) 2-Methoxy-phenylamine,19.5,5.4,11.4,112.2
47,p-Anisidine (Methoxy Aniline) 4-Methoxy-phenylamine,19.9,6.5,11.3,113.3
1099,"9,10-Anthraquinone Anthraquinone",20.3,7.6,4.8,145.6
49,Azidoethane Azido-ethane,15.9,8.9,12.9,79.0
50,3-Azidopropene 3-Azido-propene,16.8,7.7,13.4,83.0
807,Benzal Chloride Dichloromethyl-benzene,19.9,6.6,2.4,134.2
1055,Benzamide Benzamide,21.2,14.7,11.2,90.3
53,"1,3-Benzenediol Benzene-1,3-diol",18.0,8.4,21.0,87.5
894,Benzimidazole 1H-Benzoimidazole,20.6,14.9,11.0,102.7
893,Benzisoxazole Benzo[d]isoxazole,20.6,11.5,8.8,100.7
892,"2,3-Benzofuran (Cumaron) Benzofuran",18.7,5.1,5.7,110.2
54,Benzoic Acid Benzoic acid,18.2,6.9,9.8,113.1
55,Benzonitrile Benzonitrile,17.4,9.0,3.3,102.6
56,Benzophenone Diphenyl-methanone,19.6,8.6,5.7,164.2
962,Benzothiazole Benzothiazole,20.6,5.2,8.4,108.5
1053,"1,2,3-Benzotriazole 1H-Benzotriazole",18.7,15.6,12.4,96.2
57,Benzoyl Chloride Benzoyl chloride,20.7,8.2,4.5,116.0
903,Benzyl Acetate Acetic acid benzyl ester,18.3,5.7,6.0,142.8
971,Benzyl Amine Benzylamine,19.2,4.6,11.7,109.2
60,Benzyl Chloride Chloromethyl-benzene,18.8,7.1,2.6,115.0
887,Benzylethyl Ether Ethoxymethyl-benzene,18.4,3.8,3.8,144.2
868,Biphenyl Biphenyl,19.7,1.0,2.0,155.1
1066,Biuret Dicarbonimidic diamide,20.0,14.6,18.8,70.3
64,Borine Carbonyl,17.0,10.2,6.9,41.8
65,2-Bromo Allyl Alcohol 2-Bromo-prop-2-en-1-ol,17.1,9.9,16.2,84.5
66,2-Bromo Propene 2-Bromo-propene,16.1,6.0,4.9,88.8
67,1-Bromo Propene (CIS) (Z)-1-Bromo-propene,16.3,6.4,5.0,84.7
68,4-Bromo-1-Butene 4-Bromo-but-1-ene,16.5,6.0,4.5,102.0
69,"4-Bromo-1,2-Butadiene 4-Bromo-buta-1,2-diene",17.0,6.5,4.7,93.3
70,Bromoacetylene Bromo-ethyne,15.7,9.9,5.6,67.7
71,Bromobenzene Bromo-benzene,20.5,5.5,4.1,105.3
806,p-Bromobenzonitrile 4-Bromo-benzonitrile,20.4,9.3,5.8,113.8
729,2-Bromobutane 2-Bromo-butane,16.3,7.7,4.4,109.5
72,Bromochloromethane Bromo-chloro-methane,17.3,5.7,3.5,65.0
73,Bromoethylene Bromo-ethene,16.1,6.3,2.3,71.6
74,Bromoform Tribromo-methane,21.4,4.1,6.1,87.5
