No,Material,D,P,H,Ro
1,CELLIT BP-300,16.60,12.00,6.70,10.20
2,CELLIDORA A,18.20,12.40,10.80,7.40
3,ETHOCEL HE10,17.90,4.30,3.90,5.90
4,ETHOCEL STD 20,20.10,6.90,5.90,9.90
5,ARALDITE DY O25,14.00,7.40,9.40,13.70
6,EPIKOTE 828,23.10,14.60,5.00,20.50
7,EPIKOTE 1001,20.00,10.32,10.11,10.02
8,EPIKOTE 1004,17.40,10.50,9.00,7.90
9,EPIKOTE 1007,21.00,11.10,13.40,11.70
10,EPIKOTE 1009,19.30,9.37,10.95,8.26
11,PKHH,23.40,7.20,14.80,14.90
12,VERSAMID 100,23.80,5.30,16.20,16.10
13,VERSAMID 115,20.30,6.60,14.10,9.60
14,VERSAMID 125,24.90,3.10,18.70,20.30
15,VERSAMID 140,26.90,2.40,18.50,24.00
16,DESMOPHEN 651,17.70,10.60,11.60,9.50
17,DESMOPHEN 800,19.10,12.20,9.90,8.00
18,DESMOPHEN 850,21.54,14.94,12.28,16.78
19,DESMOPHEN 1100,16.00,13.10,9.20,11.40
20,DESMOPHEN 1150,20.60,7.80,11.60,13.10
21,DESMOPHEN 1200,19.40,7.40,6.00,9.80
22,DESMOPHEN 1700,17.90,9.60,5.90,8.20
23,DESMOLAC 4200,18.70,9.60,9.90,8.20
24,MACRYNAL SM 510N,19.90,8.10,6.00,9.80
25,SUPER BECKACITE 1001,23.26,6.55,8.35,19.85
26,PHENODUR 373U,19.74,11.62,14.59,12.69
27,PLIOLYTE S-100,16.47,0.37,2.84,8.59
28,PICCOPALE 110,17.55,1.19,3.60,6.55
29,PICCORONE 450L,19.42,5.48,5.77,9.62
30,POLYSAR 5630,17.55,3.35,2.70,6.55
31,HYCAR 1052,18.62,8.78,4.17,9.627248
32,BUNA HULS B10,17.53,2.25,3.42,6.55
34,LUTONAL IC/1203,14.20,2.50,4.60,12.40
35,LUTANAL I60,16.90,2.50,4.00,7.20
36,POLYVINYLBUTYL ETHER,17.40,4.30,8.40,7.40
37,LIGNIN,20.17,14.61,15.04,11.66
38,MODAFLOW,16.10,3.70,7.90,8.90
39,VIPLA KR (PVC),18.40,6.60,8.00,3.00
40,CERECLOR 70,20.00,8.30,6.80,9.80
41,CHLOROPAR 40,17.00,7.60,7.90,11.90
42,PERGUT S 5,17.40,9.50,3.80,10.00
43,ALLOPREN R10,17.40,4.30,3.90,6.10
44,PARLON P 10,20.26,6.32,5.40,10.64
