Name,CAS Number,γS (mJ/m²),γS_d (mJ/m²),γS_P (mJ/m²),γS_AB_total (mJ/m²),γS_LW (mJ/m²),γS_AB (mJ/m²),γS+ (mJ/m²),γS- (mJ/m²),δ_total (MPa^0.5),δD (MPa^0.5),δP (MPa^0.5),δH (MPa^0.5),R0 (MPa^0.5)
Acrylonitrile butadiene styrene (ABS),9003-56-9,43.6,35.8,8.0,38.6,39.4,-0.8,0.9,3.7,19.2,17.0,5.7,6.8,9.4
Aluminum foil,7429-90-5,41.2,31.7,9.5,,,,,,,,,,
Amorphous fluoropolymer (Teflon AF),,,,,,,,,,,,,,
Aramid (Kevlar),26125-61-1,,,,,,,,,,,,,
Cellophane,9005-81-6,45.4,29.8,15.6,,,,,,28.5,16.1,18.5,14.5,7.3
Cellulose acetate butyrate (CAB),9004-36-8,,,,,,,,,22.2,17.2,13.8,2.8,12.6
Cellulose acetate (CA),9004-35-7,42.0,31.0,11.1,43.5,39.0,4.5,0.3,22.2,23.5,17.1,13.1,9.4,10.6
Cellulose triacetate,9012-09-3,,,,,,,,,,,,,
Eicosane,112-95-8,,,,,,,,,,,,,
Epoxies,,45.0,37.2,7.8,,,,,,24.1,19.2,10.9,9.6,11.1
Ethyl cellulose,9004-57-3,,,,28.6,27.4,1.2,0.04,8.6,20.4,19.0,5.6,4.9,7.9
Ethyl methacrylate (EMA),97-63-2,42.0,38.8,3.2,,,,,,,,,,
Ethylene-propylene-diene-monomer (EPDM),25038-36-2,35.5,29.7,5.8,,,,,,,,,,
Fluorinated ethylene polypropylene (FEP),25067-11-2,19.9,17.1,2.8,17.9,17.9,0.0,0.0,0.0,19.6,19.0,4.0,3.0,4.0
Hexatriacontane,630-06-8,23.7,23.6,0.1,,,,,,,,,,
"2-Hydroxyethyl methacrylate (HEMA, ethylene glycol monoacrylate)",867-77-9,56.8,36.3,20.5,,,,,,,,,,
Nafion,31175-20-9,,,,,,,,,,,,,
Nitrocellulose (cellulose nitrate),9004-70-0,,,,45.1,44.8,0.3,0.01,13.3,23.5,16.2,14.1,9.5,10.7
"Nylon 10,10",,,,,,,,,,,,,,
Nylon 11,25587-80-8,,,,,,,,,20.5,17.0,4.4,10.6,5.1
Nylon 12,24937-16-4,38.2,33.1,5.2,41.3,37.0,4.3,0.6,7.6,22.2,18.5,8.1,9.1,6.3
Nylon 2 (polyglycine),25718-94-9,50.1,27.9,22.2,,,,,,,,,,
Nylon 4,24938-56-5,48.5,27.8,20.7,,,,,,,,,,
"Nylon 6,10",9008-66-6,,,,,,,,,,,,,
"Nylon 6,12",24936-74-1,67.0,62.0,4.7,,,,,,,,,,
"Nylon 6,6",32131-17-2,44.8,36.3,9.8,40.2,36.9,3.3,1.5,12.1,25.8,17.2,9.9,16.5,4.4
"Nylon 6 (polycaprolactum, aramid 6)",25038-54-4,42.7,33.1,9.6,45.3,42.5,2.8,0.2,9.6,20.3,17.0,3.4,10.6,5.1
