Solvent,InChIKey,Volume_cm3_per_mol,delta_d_MPa0.5,delta_p_MPa0.5,delta_h_MPa0.5,delta_t_MPa0.5
"1,1,1Trichloroethane",UOCLXMDMGBRAIB-UHFFFAOYSA-N,100.4,17.0,4.3,2.0,17.6
"1,1,2,2Tetrachloroethane",QPFMBZIOSGYJDE-UHFFFAOYSA-N,105.2,18.8,5.1,9.4,21.7
"1,1Dichloroethane",SCYULBFZEHDVBN-UHFFFAOYSA-N,84.8,16.6,8.2,0.4,18.4
"1,1Dichloroethylene",LGXVIGDEPROXKC-UHFFFAOYSA-N,79.0,17.0,6.8,4.5,18.8
"1,2,3,4Tetrahydronaphthalene",CXWXQJXEFPUFDZ-UHFFFAOYSA-N,136.0,19.6,2.0,2.9,20.0
"1,2Dibromoethane",PAAZPARNPHGIKF-UHFFFAOYSA-N,87.0,19.6,6.8,12.1,23.9
"1,2Dichlorobenzene",RFFLAFLAYFXFSW-UHFFFAOYSA-N,112.8,19.2,6.3,3.3,20.5
"1,2Dichloroethane",WSLDOOZREJYCGB-UHFFFAOYSA-N,79.4,19.0,7.4,4.1,20.9
"1,3Dimethylcyclohexane",SGVUHPSBDNVHKL-UHFFFAOYSA-N,140.0,16.1,0.0,1.1,16.13753388842298
"1,3Dioxolane",WNXJIVFYUVYPPR-UHFFFAOYSA-N,69.9,18.1,6.6,9.3,21.392989505910577
"1,4Diethylbenzene",DSNHSQKRULAAEI-UHFFFAOYSA-N,156.9,18.0,0.0,0.6,18.0
"1,4Dioxane",RYHBNJHYFVUHQT-UHFFFAOYSA-N,85.7,19.0,1.8,7.4,20.5
1Butanol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,91.5,16.0,5.7,15.8,23.1
1Chlorobutane,VFWCMGCRMGJXDK-UHFFFAOYSA-N,104.9,16.4,5.5,2.0,17.4
1Chloropropane,SNMVRZFUUCLYTO-UHFFFAOYSA-N,88.1,16.0,7.8,2.0,17.8
1Decanol,MWKFXSUHUHTGQN-UHFFFAOYSA-N,191.8,17.6,2.7,10.0,20.5
1Methoxy2Propanol,ARXJGSRGQADJSQ-UHFFFAOYSA-N,98.2,15.6,6.3,11.6,20.435508312738392
1Methyl2Pyrrolidinone,SECXISVLQFMRJM-UHFFFAOYSA-N,96.6,18.0,12.3,7.2,22.95931183637698
1Methylnaphthalene,QPUYECUOLPXSFR-UHFFFAOYSA-N,138.8,20.6,0.8,4.7,21.2
1Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,157.7,17.0,3.3,11.9,20.9
1Phenoxy2Propanol,IBLKWZIFZMJLFL-UHFFFAOYSA-N,143.2,17.4,5.3,11.5,21.519758362955656
1Propanol,BDERNNFJNOPAEC-UHFFFAOYSA-N,75.2,16.0,6.8,17.4,24.6
1Tridecanol,XFRVVPUIAFSTFO-UHFFFAOYSA-N,242.0,14.3,3.1,9.0,17.2
"2,2ButoxyethoxyEthylAcetate",VXQBJTKSVGFQOL-UHFFFAOYSA-N,208.2,16.0,4.1,8.2,18.44044468010465
"2,6Dimethyl4Heptanone",PTTPXKJBFFKCEK-UHFFFAOYSA-N,177.1,16.0,3.7,4.1,16.8
2Butanol,BTANRVKWQNVYAZ-UHFFFAOYSA-N,92.0,15.8,5.7,14.5,22.1
2Butanol,BTANRVKWQNVYAZ-UHFFFAOYSA-N,92.8,15.1,5.7,16.0,22.7
2Butanone,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,90.1,16.0,9.0,5.1,19.0
2ButoxyethylAcetate,NQBXSWAWVZHKBZ-UHFFFAOYSA-N,171.2,15.3,7.5,6.8,18.346116755324545
2ChloroethylEther,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,117.6,18.8,9.0,5.7,21.7
2Ethoxyethanol,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,97.8,16.2,9.2,14.3,23.5
2EthoxyethylAcetate,SVONRAPFKPVNKG-UHFFFAOYSA-N,136.2,16.0,4.7,10.6,19.6
2Furaldehyde,HYBBIBNJHNGZAN-UHFFFAOYSA-N,83.2,18.6,14.9,5.1,24.3
2Methoxyethanol,XNWFRZJHXBZDAG-UHFFFAOYSA-N,79.1,16.2,9.2,16.4,24.8
2Methyl1Propanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,92.9,15.1,5.7,15.9,22.656345689453097
2Nitropropane,FGLBSLMDCBOPQK-UHFFFAOYSA-N,86.9,16.2,12.1,4.1,20.7
2Octanol,SJWFXCIHNDVPSH-UHFFFAOYSA-N,159.1,16.2,4.9,11.0,20.3
2Pentanone,XNLICIUVMPYHGG-UHFFFAOYSA-N,107.3,16.0,7.6,4.7,18.326210737629314
2Propanol,KFZMGEQAYNKOFK-UHFFFAOYSA-N,76.8,15.8,6.1,16.4,23.5
2Pyrrolidinone,HNJBEVLQSNELDL-UHFFFAOYSA-N,76.0,19.4,17.4,11.3,28.4
3Chloro1Propanol,LAMUXTNQCICZQX-UHFFFAOYSA-N,84.2,17.6,5.7,14.7,23.7
3Hexanol,ZOCHHNOQQHDWHG-UHFFFAOYSA-N,123.2,15.8,4.3,13.5,21.3
3Hydroxypropionitrile,WSGYTJNNHPZFKR-UHFFFAOYSA-N,68.3,17.2,18.8,17.6,30.9
3Methyl1Butanol,PHTQWCKDNZKARW-UHFFFAOYSA-N,109.3,15.8,5.2,13.3,21.297182912300865
3Pentanone,FDPIMTJIUBPUKL-UHFFFAOYSA-N,106.4,15.8,7.6,4.7,18.2
4Hydroxy4Methyl2Pentanone,SWXVUIWOUIDPGS-UHFFFAOYSA-N,124.2,15.8,8.2,10.8,20.9
"4Hydroxymethyl1,3Dioxolan2One",JFMGYULNQJPJCY-UHFFFAOYSA-N,83.2,17.9,25.5,17.4,35.68501085890265
4Methyl2Pentanol,WVYWICLMDOOCFB-UHFFFAOYSA-N,127.2,15.3,3.3,12.3,19.8
4Methyl2Pentanone,NTIZESTWPVYFNL-UHFFFAOYSA-N,125.8,15.3,6.1,4.1,17.0
4Octanol,WOFPPJOZXUTRAU-UHFFFAOYSA-N,157.0,16.0,3.3,11.9,20.1
5Methyl2Hexanone,FFWSICBKRCICMR-UHFFFAOYSA-N,142.8,16.0,5.7,4.1,17.4
Acetaldehyde,IKHGUXGNUITLKF-UHFFFAOYSA-N,57.1,14.7,8.0,11.3,20.3
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,57.1,14.5,8.0,13.5,21.3
AceticAnhydride,WFDIJRYMOXRFFG-UHFFFAOYSA-N,94.5,16.0,11.7,10.2,22.3
Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,74.0,15.5,10.4,7.0,20.1
Acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,52.6,15.3,18.0,6.1,24.6
Acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,117.4,19.6,8.6,3.7,21.7
AcetylChloride,WETWJCDKMRHUPV-UHFFFAOYSA-N,71.0,15.8,10.6,3.9,19.4
Acrylonitrile,NLHHRLWOUZZQLW-UHFFFAOYSA-N,67.1,16.4,17.4,6.8,24.8
AllylAlcohol,XXROGKLTLUQVRX-UHFFFAOYSA-N,68.4,16.2,10.8,16.8,25.8
AmylAlcohol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,109.0,16.0,4.5,13.9,21.7
Anisole,RDOXTESZEPMUJZ-UHFFFAOYSA-N,119.1,17.8,4.1,6.8,19.4
Benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,101.5,19.4,7.4,5.3,21.5
Benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,89.4,18.4,0.0,2.0,18.6
BenzoicAcid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,100.0,18.2,7.0,9.8,21.9
Benzonitrile,JFDZBHWFFUWGJE-UHFFFAOYSA-N,102.6,17.4,9.0,3.3,19.8
BenzylAlcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,103.6,18.4,6.3,13.7,23.7
BenzylBenzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,190.3,20.0,5.1,5.2,21.28497122384712
BenzylButylPhthalate,IRIAEXORFWYRCZ-UHFFFAOYSA-N,306.0,19.0,11.3,3.1,22.3
